 
Catalauni | Catalauni, orum m
Catamitus | Catamitus, i m
Catane | Catane, es f
Catanilum | Catanil(um, i n
Cataonia | Cataonia, ae f
cataplus | cataplus, i m
Catapresanum | Catapresan(um, i n
catapulta | catapulta, ae f
Catapyrinum | Catapyrin(um, i n
cataracta | cataracta (catarracta), ae f
cataraсtes | cataraсtes, ae m
catarracta | catarracta, ae f
cate | cate adv.
cateja | cateja, ae f
catella | catella, ae f
catellus | catellus, i m
catena | catena, ae f
caterva | caterva, ae f
catervatim | catervatim adv.
catharticus | catharticus, a, um, i n
cathedra | cathedra, ae f
Cathocinum | Cathocin(um, i n
Cathomycinum | Cathomycin(um, i n
Catilina | Catilina, ae m
Catillus | Catillus (Catilus), i m
catillus | catillus, i m
Catina | Catina, ae f
catinus | catinus, i m
Catius | Catius, i m
Cato | Cato, onis m
Catonini | Catonini, orum m
Catullus | Catullus, i m
catulus | catulus, i m
Caturiges | Caturiges, um m
Caucasus | Caucasus, i m
cauda | cauda, ae f
caudalis | caudalis, e анат.
caudex | caudex, icis m
Caudini | Caudini, orum m
Caudium | Caudium, i n
caulae | caulae (caullae), arum f
caulis | caulis, is m
caullae | caullae, arum f
caulogenus | caulogenus, a, um бот.
Caulon | Caulon, onis m
Caulonia | Caulonia, ae f
Cauneae | Cauneae, arum f
Caunei | Caunei, orum m
Caunii | Caunii, orum m
Caunus | Caunus, i f
caupo | caupo (copo), onis m
caupona | caupona, ae f
cauponula | cauponula, ae f
Caurus | Caurus (Corus), i m
causa | causa (caussa), ae f
causarii | causarii, orum m
causidicus | causidicus, i m
caussa | caussa, ae f
caute | caute adv.
cautes | cautes, is f
cautio | cautio, onis f
cautor | cautor, oris m
cavea | cavea, ae f
caveo | caveo, cavi, cautum, ere юр.
caverna | caverna, ae f
cavernalis | cavernalis, e анат.
cavernosus | cavernosus, a, um анат.
Cavicornia | Cavicornia, ium n
cavillatio | cavillatio, onis f
cavitas | cavitas, atis f
cavocavalis | cavocavalis, e анат.
Cavonylum | Cavonyl(um, i n
cavum | cavum, i n
Caystrus | Caystrus (-os), i m
Cea | Cea (Cia), ae f
Ceangi | Ceangi, orum m
Cebenna | Cebenna mons m
Cebionum | Cebion(um, i n
Cebren | Cebren, enis m
Cebrenis | Cebrenis, idos f
cecalis | cecalis, e анат.
Cecropes | Cecropes, um m
Cecropia | Cecropia, ae f
Cecropidae | Cecropidae, arum m
Cecropides | Cecropides, ae m
Cecropis | Cecropis, idis f
Cecrops | Cecrops, opis m
cecum | cecum, i n
cecus | cecus, a, um анат.
Cedilanidum | Cedilanid(um, i n
Cedisanolum | Cedisanol(um, i n
Cedistabilum | Cedistabil(um, i n
Cedoxinum | Cedoxin(um, i n
cedrus | cedrus, i f
Cefaloridinum | Cefaloridin(um, i n
Ceflorinum | Ceflorin(um, i n
Ceglunatum | Ceglunat(um, i n
Cei | Cei, orum m
Celadigalum | Celadigal(um, i n
Celaenae | Celaenae, arum f
Celaeno | Celaeno, us f
Celanidum | Celanid(um, i n
Celbeninum | Celbenin(um, i n
celebratio | celebratio, onis f
celebritas | celebritas, atis f
Celemna | Celemna, ae f
Celeres | Celeres, um m
celeritas | celeritas, atis f
celeriter | celeriter adv.
Celetrum | Celetrum, i n
Celeus | Celeus, i m
celia | celia, ae f
celiacus | celiacus, a, um анат.
Celinum | Celin(um, i n
Celiomycinum | Celiomycin(um, i n
cella | cella, ae f
cellula | cellula, ae f
cellularis | cellularis, e биолог.
cellulosus | cellulosus, a, um биолог.
Celocainum | Celocain(um, i n
Celocurinum | Celocurin(um, i n
celoma | celoma, atis n
celox | celox, ocis f
Celtae | Celtae, arum m
Celtiberi | Celtiberi, orum m
Celtiberia | Celtiberia, ae f
Celticum | Celticum, i n
cementum | cementum, i n
cena | cena (caena или coena), ae f
Cenabum | Cenabum, i n
cenaculum | cenaculum, i n
Cenaeum | Cenaeum, i n
Cenchreae | Cenchreae, arum f
Cenchrius | Cenchrius, i m
Cenetonum | Ceneton(um, i n
Cenomani | Cenomani, orum m
censor | censor, oris m
censura | censura, ae f
census | census, us m
centanculus | centanculus, i m
centaureum | centaureum (-ium), i n
Centaurium | Centaurium, i n
Centaurus | Centaurus, i m
Centedrinum | Centedrin(um, i n
centeni | centeni, ae, a gen.
centesima | centesima, ae f
centiens | centiens (centies) adv.
centigramma | centigramma, atis n
cento | cento, onis m
centractilum | centractil(um, i n
Centraminum | Centramin(um, i n
Centrazolum | Centrazol(um, i n
centrifuga | centrifuga, ae f
centromedianus | centromedianus, a, um анат.
Centrones | Centrones, um m
Centrophenoxinum | Centrophenoxin(um, i n
centrum | centrum, i n
centum | centum indecl.
centumvir | centumvir, i m
centuria | centuria, ae f
centuriatim | centuriatim adv.
centuriatus | I centuriatus, us m
centurio | I centurio, avi, atum, are m
Centuripae | Centuripae, arum f
Centuripini | Centuripini, orum m
cenula | cenula, ae f
cenum | cenum, i m
Ceos | Ceos f
cepa | cepa (caepa), ae f
cepe | cepe, is n
cephalgia | cephalgia, ae f
cephalicus | cephalicus, a, um анат.
Cephallania | Cephallania, ae f
Cephallenes | Cephallenes, um m
Cephallenia | Cephallenia (Cephallania), ae f
Cephaloedis | Cephaloedis, idis f
Cephaloeditani | Cephaloeditani, orum m
Cephaloedium | Cephaloedium, i n
Cephalopoda | Cephalopoda, orum n
Cephaloridinum | Cephaloridin(um, i n
Cepheis | Cepheis, idis f
Cepheus | Cepheus (=Cephe^us), ei m
Cephisias | Cephisias, adis f
Cephisis | Cephisis, idis f
Cephisius | Cephisius, i m
Cephissias | Cephissias, adis f
Cephissis | Cephissis, idis f
Cephissius | Cephissius, i m
Cephissus | Cephissus (-os), i m
Cephisus | Cephisus, i m
Ceporinum | Ceporin(um, i n
cera | cera, ae f
Ceramicus | Ceramicus (-os), i m
cerarium | cerarium, i n
Cerastae | Cerastae, arum m
cerasus | cerasus, i f
ceratocricoideus | ceratocricoideus, a, um анат.
ceratopharyngeus | ceratopharyngeus, a, um анат.
Ceraunia | Ceraunia, orum n
Ceraunii | Ceraunii montes m
Cerberus | Cerberus (-os), i m
Cercina | Cercina, ae f
Cercocebus | Cercocebus, i m
cercurus | cercurus, i m
Cercyo | Cercyo, onis m
Cerealia | Cerealia (Cerialia), ium n
cerebellaris | cerebellaris, e анат.
cerebellomedullaris | cerebellomedullaris, e анат.
cerebellorubralis | cerebellorubralis, e анат.
cerebellothalamicus | cerebellothalamicus, a, um анат.
cerebellum | cerebellum, i n
cerebralis | cerebralis, e анат.
Cerebrolysinum | Cerebrolysin(um, i n
cerebrosus | cerebrosus, i m
cerebrum | cerebrum, i n
ceremonia | ceremonia, ae f
Ceres | Ceres, eris f
cereus | I cereus, a, um m
cerevisiae | cerevisiae, arum f
Cerialia | Cerialia, ium n
Cerigelum | Cerigel(um, i n
cerimonia | cerimonia, ae f
cerintha | cerintha, ae f
cerinthe | cerinthe, es f
Cerocainum | Cerocain(um, i n
certamen | certamen, inis n
certatim | certatim adv.
certatio | certatio, onis f
certe | certe adv.
certo | I certo adv.
cerumen | cerumen, inis n
ceruminosus | ceruminosus, a, um анат.
cerva | cerva, ae f
cervicalis | cervicalis, e анат.
cervicothoracicus | cervicothoracicus, a, um анат.
cervicula | cervicula, ae f
cervix | cervix, icis f
cervus | cervus, i m
cespes | cespes (caespes), itis m
cessatio | cessatio, onis f
cessator | cessator, oris m
Cestocidum | Cestocid(um, i n
cestrosphendone | cestrosphendone, es f
cetarium | cetarium, i n
cetarius | cetarius, i m
cetera | cetera adv.
ceterum | ceterum adv.
ceterus | ceterus, a, um pl.
Cethegus | Cethegus, i m
cetodosis | cetodosis, is f
Cetorhinus | Cetorhinus, i m
cetos | cetos, i m
cetra | cetra (caetra), ae f
cetrati | cetrati, orum m
cetratus | cetratus (caetratus) a, um преим.
cetus | cetus (cetos), i m
ceu | ceu adv.
Ceutrones | Ceutrones, um m
Cevalinum | Cevalin(um, i n
Cevanolum | Cevanol(um, i n
Cevexum | Cevex(um, i n
Ceyx | Ceyx, ycis m
Chaeronea | Chaeronea, ae f
Chaetognata | Chaetognata, orum n
Chalcedon | Chalcedon, onis f
Chalcidenses | Chalcidenses, ium m
Chalcioecus | Chalcioecus, i f
Chalciope | Chalciope, es f
Chalcis | Chalcis, idis (idos) f
Chaldaea | Chaldaea, ae f
Chaldaei | Chaldaei, orum m
Chalybes | Chalybes, um m
chalybs | chalybs, ybis m
chamomilla | chamomilla, ae f
Chaones | Chaones, um m
Chaonia | Chaonia, ae f
chaos | chaos ( acc.
chara | chara, ae f
Charax | Charax, acis f
Charis | Charis, itos f
charistia | charistia (caristia), orum n
Charmadas | Charmadas, ae m
Charon | Charon, ontis (onis) m
Charondas | Charondas, ae m
charta | charta, ae f
Charybdis | Charybdis, is f
Chatti | Chatti (Catti), orum m
Chauci | Chauci (Cauchi или Cauci, Cayci), orum m
cheilanthus | cheilanthus, a, um биолог.
cheilitis | cheilitis, idis f
cheiloplastica | cheiloplastica, ae f
cheilorrhagia | cheilorrhagia, ae f
cheiloschisis | cheiloschisis, is f
cheilosis | cheilosis, is f
cheirophyllus | cheirophyllus, a, um бот.
chelae | chelae, arum f
Chelatonum | Chelaton(um, i n
Chelenum | Chelen(um, i n
Chelidon | Chelidon, onis f
