 
hyperbilirubinaemia | hyperbilirubinaemia, ae f
Hyperborei | Hyperborei, orum m
hyperchlorhydria | hyperchlorhydria, ae f
hyperergia | hyperergia, ae f
hyperergicus | hyperergicus, a, um мед.
hyperfunctio | I hyperfunctio, onis f
hypergia | hypergia, ae f
hyperglykaemia | hyperglykaemia, ae f
Hypericum | Hypericum, i n
Hyperion | Hyperion, onis m
hyperkeratosis | hyperkeratosis, is f
hyperkinesia | hyperkinesia, ae f
hypermetropia | hypermetropia, ae f
Hypernephrinum | Hypernephrin(um, i n
Hyperolum | Hyperol(um, i n
hyperplasia | hyperplasia, ae f
hypersecretio | hypersecretio, onis f
Hypertensinum | Hypertensin(um, i n
hypertensio | hypertensio, onis f
hyperthermia | hyperthermia, ae f
hyperthyreosis | hyperthyreosis, is f
hypertonia | hypertonia, ae f
hypertonicus | hypertonicus, a, um мед.
hypertrophia | hypertrophia, ae f
hypertrophicus | hypertrophicus, a, um мед.
Hyphotocinum | Hyphotocin(um, i n
Hypnamilum | Hypnamil(um, i n
Hypnovalum | Hypnoval(um, i n
hypocaustum | hypocaustum, i n
hypochlorhydria | hypochlorhydria, ae f
hypochondria | hypochondria, ае f
hypochondrium | hypochondrium, i n
hypochylia | hypochylia, ae f
hypoderma | hypoderma, atis n
hypodermaticus | hypodermaticus, a, um анат.
hypogalactia | hypogalactia, ae f
hypogastricus | hypogastricus, a, um анат.
hypogastrium | hypogastrium, i n
Hypogiycamidum | Hypogiycamid(um, i n
hypoglossus | I hypoglossus, a, um анат.
hypoglykaemia | hypoglykaemia, ae f
hypokinesia | hypokinesia, ae f
hypomnesia | hypomnesia, ae f
hyponychium | hyponychium, i n
hypopharynx | hypopharynx, yngis m
Hypophenum | Hypophen(um, i n
Hypophysinum | Hypophysin(um, i n
hypophysis | hypophysis, is f
hypoplasia | hypoplasia, ae f
hypostasis | hypostasis, is f
Hyposterolum | Hyposterol(um, i n
hypotensio | hypotensio, onis f
hypothalamus | hypothalamus, i m
hypothenar | hypothenar, is n
hypothermia | hypothermia, ae f
hypothyreosis | hypothyreosis, is f
hypotonia | hypotonia, ae f
hypotrophia | hypotrophia, ae f
hypovitaminosis | hypovitaminosis, is f
hypoxaemia | I hypoxaemia, ae f
hypoxia | hypoxia, ae f
Hyrcania | Hyrcania, ae f
Hystaspes | Hystaspes, is m
hystera | hystera, ae f
hysterectomia | hysterectomia, ae f
hysteropathia | hysteropathia, ae f
hysteropexia | hysteropexia, ae f
hysteroptosis | hysteroptosis, is f
hysterorrhaphia | hysterorrhaphia, ae f
hysterotomia | hysterotomia, ae f
