 
viscus | viscus, eris n
visenda | visenda, orum n
Visnagalinum | Visnagalin(um, i n
Visnagenum | Visnagen(um, i n
Visotrastum | Visotrast(um, i n
Vistula | Vistula, ae f
visum | visum, i n
Visurgis | Visurgis, is m
visus | visus, us m
vita | vita, ae f
Vitadolum | Vitadol(um, i n
Vitaflavinum | Vitaflavin(um, i n
Vitaiodurolum | Vitaiodurol(um, i n
vitaminum | vitaminum, i n
Vitascorbolum | Vitascorbol(um, i n
Vitasterolum | Vitasterol(um, i n
vitatio | vitatio, onis f
Vitazonum | Vitazon(um, i n
vitellinus | vitellinus, a, um анат.
vitellus | vitellus, i m
vitiose | vitiose adv.
vitis | vitis, is f
vitisator | vitisator, oris m
vitium | vitium, i n
Vitohepatum | Vitohepat(um, i n
Vitoxycyclinum | Vitoxycyclin(um, i n
vitreus | vitreus, a, um поэт.
vitricus | vitricus, i m
vitriterstrum | vitriterstrum, i n
Vitrocinum | Vitrocin(um, i n
vitrum | vitrum, i n
vitta | vitta, ae f
vitula | vitula, ae f
vitulina | vitulina, ae f
vitulus | vitulus, i m
vituperatio | vituperatio, onis f
vivarium | vivarium, i n
vivax | vivax, acis поэт.
vivo | vivo, vixi, victum, ere поэт.
vivum | vivum, i n
vix | vix adv.
vixdum | vixdum adv.
vocabulum | vocabulum, i n
vocalis | vocalis, e грам.
vocatus | vocatus, us m
vociferatio | vociferatio, onis f
voco | voco, avi, atum, are поэт.
Vofaverdinum | Vofaverdin(um, i n
Voganum | Vogan(um, i n
Vogesus | Vogesus, i m
vola | vola, ae f
volaris | volaris, e ����.
volatilis | volatilis, e поэт.
volatus | volatus, us m
Volcae | Volcae, arum m
Volcanus | Volcanus, i m
Volitalum | Volital(um, i n
volo | I volo, avi, atum, are юр.
Volocidum | Volocid(um, i n
volpes | volpes, is f
Volsci | Volsci, orum m
volsus | volsus, a, um см.
voltus | voltus, us m
volubilitas | volubilitas, atis f
volucris | volucris, is f
volumen | volumen, inis n
voluntas | voluntas, atis f
voluptas | voluptas, atis f
volutabrum | volutabrum, i n
volutatio | volutatio, onis f
voluto | voluto, avi, atum, are pass.
volvo | volvo, volvi, volutum, ere pass.
vomer | vomer (vomis), eris m
vomeronasalis | vomeronasalis, e анат.
vomerovaginalis | vomerovaginalis, e анат.
vomica | vomica, ae f
vomis | vomis, eris m
Vontilum | Vontil(um, i n
vorago | vorago, inis f
vortex | vortex, icis m
vorticosus | vorticosus, a, um анат.
vos | vos см.
Vosegus | Vosegus, i m
votum | votum, i n
voveo | voveo, vovi, votum, ere поэт.
vox | vox, vocis f
Vulcamycinum | Vulcamycin(um, i n
Vulcanus | Vulcanus, i m
vulgator | vulgator, oris m
vulgo | I vulgo (volgo) adv.
vulgus | vulgus (volgus), i n
vulneratio | vulneratio (volneratio), onis f
vulnus | vulnus (volnus), eris n
vulpecula | vulpecula, ae f
vulpes | vulpes ( арх.
vultur | vultur (voltur), uris m
vulturius | vulturius (volturius), i m
vulturnus | vulturnus (volturnus), i m
vultus | vultus (voltus), us m
vulva | vulva (volva), ae f
VV | VV сокр. от
