 
epoophoron | epoophoron, i n
epops | epops, opis m
Eporalum | Eporal(um, i n
epos | epos n
Eprazinum | Eprazin(um, i n
Epsicapronum | Epsicapron(um, i n
Eptoinum | Eptoin(um, i n
epulae | epulae, arum f
epulo | epulo, onis m
epulum | epulum, i n
EQ.R. | EQ.R. сокр. от
equa | equa, ae f
Equanilum | Equanil(um, i n
equator | equator, oris m
eques | eques, itis m
equidem | equidem adv.
equinus | I equinus, a, um анат.
Equiria | Equiria, ium n
Equisetum | Equisetum, i n
equitatus | equitatus, us m
equuleus | equuleus (eculeus), i m
equus | equus, i m
ER. | ER. сокр. от
era | era, ae f
Eragrostis | Eragrostis, idis f
Eraminum | Eramin(um, i n
Erato | Erato, us f
Eratosthenes | Eratosthenes, is m
Eravermum | Eraverm(um, i n
Ercoquinum | Ercoquin(um, i n
erctum | erctum, i n
erector | erector, oris m
ereptio | ereptio, onis f
ereptor | ereptor, oris m
eres | eres, edis m
Eretria | Eretria, ae f
Erevitum | Erevit(um, i n
erga | erga praep.
Ergaminum | Ergamin(um, i n
Ergamum | Ergam(um, i n
ergasterium | ergasterium, i n
ergastulum | ergastulum, i n
ergo | I ergo conj.
Ergocalciferolum | Ergocalciferol(um, i n
Ergoclinum | Ergoclin(um, i n
Ergofeinum | Ergofein(um, i n
Ergoffinum | Ergoffin(um, i n
Ergostabilum | Ergostabil(um, i n
Ergotalum | Ergotal(um, i n
Ergotaminum | Ergotamin(um, i n
Ergotartratum | Ergotartrat(um, i n
Ergotexum | Ergotex(um, i n
Ergotinum | Ergotin(um, i n
Ergotoxinum | Ergotoxin(um, i n
ericius | ericius, i m
Eridanum | Eridan(um, i n
Eridanus | Eridanus, i m
Erinys | Erinys, yus f
eripio | eripio, ripui, reptum, ere pass.
Eritrocina | Eritrocina, ae f
Ermetrinum | Ermetrin(um, i n
Erpozidum | Erpozid(um, i n
erratio | erratio, onis f
errator | errator, oris m
erratum | erratum, i n
erratus | erratus, us m
erro | I erro, avi, atum, are m
error | error, oris m
eruca | eruca, ae f
erudite | erudite adv.
eruditi | eruditi, orum m
erumpo | erumpo, rupi, ruptum, ere pass.
eruptio | eruptio, onis f
erus | erus, i m
ervum | ervum, i n
Erynitum | Erynit(um, i n
Erysiminum | Erysimin(um, i n
Erysimosidum | Erysimosid(um, i n
Erysimum | Erysim(um, i n
erythema | erythema, etis n
erythroblastus | erythroblastus, i m
erythrocytopenia | erythrocytopenia, ae f
erythrocytosis | erythrocytosis, is f
erythrocytus | erythrocytus, i m
erythrodermia | erythrodermia, ae f
Erythromycinum | Erythromycin(um, i n
erythropoesis | erythropoesis, is f
esca | esca, ae f
escensio | escensio, onis f
Escodolum | Escodol(um, i n
Esculozidum | Esculozid(um, i n
Escuzanum | Escuzan(um, i n
esophagectasia | esophagectasia, ae f
esophageus | esophageus, a, um анат.
esophagospasmus | esophagospasmus, i m
esophagostenosis | esophagostenosis, is f
esophagus | esophagus, i m
Esquiliae | Esquiliae, arum f
essedarius | essedarius, i m
essedum | essedum, i n
Estigynum | Estigyn(um, i n
Estrenum | Estren(um, i n
Estrilum | Estril(um, i n
Estrobenum | Estroben(um, i n
Estromeninum | Estromenin(um, i n
Estronalum | Estronal(um, i n
Estronum | Estron(um, i n
Estrugenonum | Estrugenon(um, i n
Estrusolum | Estrusol(um, i n
et | et conj.
Etaperazinum | Etaperazin(um, i n
etenim | etenim conj.
Eteocles | Eteocles, is (eos) m
etesiae | etesiae, arum m
Etfortilum | Etfortil(um, i n
Ethambutolum | Ethambutol(um, i n
Ethidolum | Ethidol(um, i n
Ethinoralum | Ethinoral(um, i n
Ethiodanum | Ethiodan(um, i n
Ethionamidum | Ethionamid(um, i n
Ethisteronum | Ethisteron(um, i n
ethmoideomaxillaris | ethmoideomaxillaris, e анат.
Ethocainum | Ethocain(um, i n
Ethodinum | Ethodin(um, i n
Ethoformum | Ethoform(um, i n
Ethomorphinum | Ethomorphin(um, i n
Ethylmorphinum | Ethylmorphin(um, i n
Ethymalum | Ethymal(um, i n
etiam | etiam conj.
etiamnum | etiamnum adv.
etiamsi | etiamsi conj.
etiamtum | etiamtum adv.
Eticyclinum | Eticyclin(um, i n
Eticyclolum | Eticyclol(um, i n
Etiocarlidum | Etiocarlid(um, i n
Etionizina | Etionizina, ae f
Etivexum | Etivex(um, i n
Etruria | Etruria, ae f
etsi | etsi conj.
eu | eu interj.
Eubinum | Eubin(um, i n
Euboea | Euboea, ae f
Eubolinum | Eubolin(um, i n
eucalyptus | eucalyptus, i f
Euclaminum | Euclamin(um, i n
Euclides | Euclides, is m
Eucodalum | Eucodal(um, i n
Eucortonum | Eucorton(um, i n
Eudormum | Eudorm(um, i n
Euflavinum | Euflavin(um, i n
eugenica | eugenica, ae f
Eukratonum | Eukraton(um, i n
Eulaevomycetinum | Eulaevomycetin(um, i n
Eulaxinum | Eulaxin(um, i n
Eumenides | Eumenides, um f
Euniazidum | Euniazid(um, i n
Eunoctinum | Eunoctin(um, i n
eunuchus | eunuchus, i m
Eupasalum | Eupasal(um, i n
Euphodynum | Euphodyn(um, i n
euphoria | euphoria, ae f
Euphrates | Euphrates, is m
Euphyllinum | Euphyllin(um, i n
Eupraminum | Eupramin(um, i n
Euripides | Euripides, is m
euripus | euripus, i m
Europa | Europa, ae f
Eurotas | Eurotas, ae m
eurus | eurus, i m
eurycladus | eurycladus, a, um бот.
euryphagia | euryphagia, ae f
eurytopus | eurytopus, a, um биолог.
Euspiranum | Euspiran(um, i n
Eusterolum | Eusterol(um, i n
Eustigminum | Eustigmin(um, i n
Eustralum | Eustral(um, i n
Eustrophinum | Eustrophin(um, i n
Eusynthomycinum | Eusynthomycin(um, i n
Eutensolum | Eutensol(um, i n
Euterpe | Euterpe, es f
Eutizonum | Eutizon(um, i n
eutrophus | eutrophus, a, um биолог.
Eutropius | Eutropius, i m
Euvernilum | Euvernil(um, i n
evacuatio | evacuatio, onis f
evagor | evagor, atus sum, ari воен.
Evazolum | Evazol(um, i n
eveho | eveho, vexi, vectum, ere pass.
eventum | eventum, i n
eventus | eventus, us m
everriculum | everriculum, i n
everriculus | everriculus, i m
eversio | eversio, onis f
eversor | eversor, oris m
evidenter | evidenter adv.
Evipalum | Evipal(um, i n
Evipanum | Evipan(um, i n
Evitanum | Evitan(um, i n
evocati | evocati, orum m
evocator | evocator, oris m
evolsus | evolsus, a, um см.
evolutio | evolutio, onis f
Evramycinum | Evramycin(um, i n
ex | ex praep.
Exacthinum | Exacthin(um, i n
exactio | exactio, onis f
exactor | exactor, oris m
exadversum | exadversum praep.
exaequatio | exaequatio, onis f
examen | examen, inis n
Exangitum | Exangit(um, i n
exanimo | exanimo, avi, atum, are pass.
exanthema | exanthema, atis n
exaspero | exaspero, avi, atum, are pass.
exauguratio | exauguratio, onis f
excavatio | excavatio, onis f
excavatus | excavatus, a, um анат.
excellenter | excellenter adv.
excellentia | excellentia, ae f
excelsum | excelsum, i n
exceptio | exceptio, onis f
excessus | excessus, us m
excetra | excetra, ae f
excidium | excidium, i n
excio | excio, civi, citum, ire pass.
excisio | excisio, onis f
excito | excito, avi, atum, are юр.
exclamatio | exclamatio, onis f
excretorius | excretorius, a, um анат.
excretum | excretum, i n
excubiae | excubiae, arum f
excubitor | excubitor, oris m
excursio | excursio, onis f
excursor | excursor, oris m
excursus | excursus, us m
excusatio | excusatio, onis f
exemplar | exemplar, aris n
exemplum | exemplum, i n
exerceo | exerceo, cui, citum, ere pass.
exercitatio | exercitatio, onis f
exercitus | I exercitus, a, um m
exhalatio | exhalatio, onis f
exhalo | exhalo (exalo), avi, atum, are поэт.
exhibeo | exhibeo, hibui, hibitum, ere юр.
Exhorranum | Exhorran(um, i n
exigo | exigo, egi, actum, ere поэт.
exigue | exigue adv.
exiguitas | exiguitas, atis f
exiguum | exiguum, i n
exilium | exilium, i n
eximie | eximie adv.
exinde | exinde (exin, exim) adv.
existimatio | existimatio, onis f
existimator | existimator, oris m
exitium | exitium, i n
exitus | exitus, us m
exocarpium | exocarpium, i n
exodium | exodium, i n
exogenus | exogenus, a, um биолог.
exophthalmus | exophthalmus, i m
exordium | exordium, i n
exoro | exoro, avi, atum, are pass.
exorsa | exorsa, orum n
exorsus | exorsus, us m
exortus | exortus, us m
exostosis | exostosis, is f
exostra | exostra, ae f
Expandexum | Expandex(um, i n
expedio | expedio, ivi (ii), itum, ire воен.
expeditio | expeditio, onis f
experientia | experientia, ae f
experimentum | experimentum, i n
experior | experior, pertus sum, iri юр.
expiatio | expiatio, onis f
expilatio | expilatio, onis f
explanatio | explanatio, onis f
expleo | expleo, plevi, pletum, ere воен.
explicatio | explicatio, onis f
explicitior | explicitior, ius compar.
explico | explico, avi (ui), atum (itum), are воен.
explorator | explorator, oris m
exportatio | exportatio, onis f
expostulatio | expostulatio, onis f
expresse | expresse adv.
exprobratio | exprobratio, onis f
expromo | expromo, prompsi, promptum, ere поэт.
expugnatio | expugnatio, onis f
expugnator | expugnator, oris m
expulsio | expulsio, onis f
expulsor | expulsor, oris f
expurgo | expurgo, avi, atum, are поэт.
exsecratio | exsecratio, onis f
exsectio | exsectio, onis f
exsequiae | exsequiae, arum f
exsilium | exsilium, i n
exspectatio | exspectatio, onis f
exspes | exspes adj.
exsterno | exsterno, avi, atum, are pass.
exstinctor | exstinctor, oris m
exstinguo | exstinguo, stinxi, stinctum, ere pass.
exstirpatio | exstirpatio, onis f
exstructio | exstructio, onis f
exsudativus | exsudativus, a, um мед.
exsul | exsul, ulis m
exsultatio | exsultatio, onis f
exsultim | exsultim adv.
exsupero | exsupero, avi, atum, are поэт.
exta | exta, orum n
extemplo | extemplo adv.
extendo | extendo, tendi, tensum (tentum), ere воен.
extensio | extensio, onis f
extensor | extensor, oris m
extensorius | extensorius, a, um анат.
extenuo | extenuo, avi, atum, are воен.
exterior | exterior, ius compar.
externa | externa, orum n
externus | I externus, a, um m
extra | I extra adv.
extrabuccalis | extrabuccalis, e анат.
extracapsularis | extracapsularis, e анат.
extracardialis | extracardialis, e анат.
extracellularis | extracellularis, e биолог.
extractum | extractum, i n
extracysticus | extracysticus, a, um анат.
extraduralis | extraduralis, e анат.
extrahepaticus | extrahepaticus, a, um анат.
extramedullaris | extramedullaris, e анат.
