 
retrolingualis | retrolingualis, e анат.
retromammalis | retromammalis, e анат.
retromandibularis | retromandibularis, e анат.
retromastoidalis | retromastoidalis, e анат.
retronasalis | retronasalis, e анат.
retroperitonealis | retroperitonealis, e анат.
retropharyngeus | retropharyngeus, a, um анат.
retropubicus | retropubicus, a, um анат.
retrorsum | retrorsum adv.
retrosternalis | retrosternalis, e анат.
retroversio | retroversio, onis f
Reumoidum | Reumoid(um, i n
reus | reus, i m
reveho | reveho, vexi, vectum, ere pass.
reverbero | reverbero, --, --, are pass.
reverentia | reverentia, ae f
Reverinum | Reverin(um, i n
reversio | reversio (revorsio), onis f
Revibolum | Revibol(um, i n
revocamen | revocamen, inis n
revocatio | revocatio, onis f
revoco | revoco, avi, atum, are юр.
revolvo | revolvo, volvi, volutum, ere поэт.
Revonalum | Revonal(um, i n
rex | rex, regis m
Rexiodum | Rexiod(um, i n
Rexocainum | Rexocain(um, i n
Rhadamanthus | Rhadamanthus, i m
Rhaeti | Rhaeti, orum m
Rhaetia | Rhaetia, ae f
Rhaetocainum | Rhaetocain(um, i n
Rhamnilum | Rhamnil(um, i n
Rhamnus | Rhamnus, i f
rhapsodia | rhapsodia, ae f
Rhea | Rhea, ae f
rheno | rheno, onis m
Rhenus | Rhenus, i m
Rheopakum | Rheopak(um, i n
Rheopolyglucinum | Rheopolyglucin(um, i n
Rheopyrinum | Rheopyrin(um, i n
Rheosolonum | Rheosolon(um, i n
rhetor | rhetor, oris m
rhetorice | rhetorice adv.
rhetoricoteros | rhetoricoteros  adj.
Rheum | Rheum, i n
rhinalis | rhinalis, e анат.
rhinanthus | I rhinanthus, a, um биолог.
Rhinazinum | Rhinazin(um, i n
Rhinchophorus | Rhinchophorus, i m
rhinencephalon | rhinencephalon, i n
rhinitis | rhinitis, idis f
Rhinoceros | Rhinoceros, otis m
rhinocerus | rhinocerus, a, um биолог.
rhinolithus | rhinolithus, i m
rhinopathia | rhinopathia, ae f
rhinoplastica | rhinoplastica, ae f
rhinorrhagia | rhinorrhagia, ae f
rhinorrhoea | rhinorrhoea, ae f
rhinoscopia | rhinoscopia, ae f
rhis | rhis, rhinos f
rhizocarpus | rhizocarpus, a, um биолог.
Rhizocephala | Rhizocephala, orum n
rhizoma | rhizoma, atis n
rhizomorphus | rhizomorphus, a, um биолог.
Rhizopoda | Rhizopoda, orum n
rho | rho n
Rhodanus | Rhodanus, i m
Rhodos | Rhodos (-us), i f
rhombencephalon | rhombencephalon, i n
rhomboideus | rhomboideus, a, um анат.
rhombus | rhombus, i m
Rhynchophorus | Rhynchophorus, i m
rhythmici | rhythmici, orum m
Riboflavinum | Riboflavin(um, i n
Ribonucleasum | Ribonucleas(um, i n
Ribovinum | Ribovin(um, i n
ricinium | ricinium (recinium), i n
Ricinus | Ricinus, i m
rictum | rictum, i n
rictus | rictus, us m
rideo | rideo, risi, risum, ere поэт.
ridicule | ridicule adv.
Ridinolum | Ridinol(um, i n
Ridolum | Ridol(um, i n
Rifadinum | Rifadin(um, i n
Rifampicinum | Rifampicin(um, i n
Rifamycinum | Rifamycin(um, i n
Rifocinum | Rifocin(um, i n
Rifodinum | Rifodin(um, i n
Rigedalum | Rigedal(um, i n
Rigenicidum | Rigenicid(um, i n
rigeo | rigeo, --, --, ere поэт.
Rigetaminum | Rigetamin(um, i n
rigide | rigide adv.
rigidus | rigidus, a, um поэт.
rigor | rigor, oris m
riguus | riguus, a, um pass.
Rilatinum | Rilatin(um, i n
rima | rima, ae f
Rimactanum | Rimactan(um, i n
Rimicidum | Rimicid(um, i n
Rimifonum | Rimifon(um, i n
Rincortenum | Rincorten(um, i n
ripa | ripa, ae f
ripula | ripula, ae f
risor | risor, oris m
Risordanum | Risordan(um, i n
risorius | risorius, a, um анат.
Ristomycinum | Ristomycin(um, i n
Ristozetinum | Ristozetin(um, i n
risus | risus, us m
Ritalinum | Ritalin(um, i n
rite | rite adv.
Rithmosum | Rithmos(um, i n
ritus | ritus, us m
rivalis | rivalis, is m
rivalitas | rivalitas, atis f
Rivanolum | Rivanol(um, i n
Rivivolum | Rivivol(um, i n
rivulus | rivulus, i m
rivus | rivus, i m
rixa | rixa, ae f
robigo | robigo (rubigo), inis f
robur | robur, oris n
roentgenogramma | roentgenogramma, atis n
roentgenographia | roentgenographia, ae f
roentgenologia | roentgenologia, ae f
roentgenologicus | roentgenologicus, a, um мед.
rogatio | rogatio, onis f
rogatiuncula | rogatiuncula, ae f
rogator | rogator, oris m
rogatus | rogatus, us m
Rogitinum | Rogitin(um, i n
rogo | rogo, avi, atum, are воен.
rogus | rogus, i m
Roma | Roma, ae f
Romanus | I Romanus, i m
Rometinum | Rometin(um, i n
Romicilum | Romicil(um, i n
Romparkinum | Romparkin(um, i n
Romulidae | Romulidae, arum (um) m
Romulus | Romulus, i m
Romycilum | Romycil(um, i n
Rondarum | Rondar(um, i n
Rondomycinum | Rondomycin(um, i n
Ronqualonum | Ronqualon(um, i n
Rontonum | Ronton(um, i n
Ronylum | Ronyl(um, i n
Roquinum | Roquin(um, i n
rorarii | rorarii, orum m
roro | roro, avi, atum, are impers.
ros | ros, roris m
rosa | rosa, ae f
rosarium | rosarium, i n
roscidus | roscidus, a, um поэт.
rosetum | rosetum, i n
rostra | rostra, orum n
rostralis | rostralis, e анат.
rostriformis | rostriformis, e биолог.
rostrum | rostrum, i n
rota | rota, ae f
rotatio | rotatio, onis f
rotator | rotator, oris m
Roterum | Roter(um, i n
roto | roto, avi, atum, are pass.
rotunde | rotunde adv.
rotundifolius | rotundifolius, a, um биолог.
rotundo | rotundo, avi, atum, are поэт.
Rovacholexum | Rovacholex(um, i n
Rovamycinum | Rovamycin(um, i n
Rovatinexum | Rovatinex(um, i n
Roxinoidum | Roxinoid(um, i n
Rubavitum | Rubavit(um, i n
rubetum | rubetum, i n
Rubia | Rubia, ae f
Rubico | Rubico, onis m
Rubidomycinum | Rubidomycin(um, i n
Rubivitanum | Rubivitan(um, i n
rubor | rubor, oris m
Rubraminum | Rubramin(um, i n
rubrica | rubrica, ae f
rubriflorus | rubriflorus, a, um биолог.
rubrofuscus | rubrofuscus, a, um биолог.
rubroreticularis | rubroreticularis, e анат.
rubrospinalis | rubrospinalis, e анат.
rubus | rubus, i m
Rucetinum | Rucetin(um, i n
ructus | ructus, us m
rudens | rudens, entis m
rudimentum | rudimentum, i n
rudis | I rudis, e f
rudo | rudo, rudivi, --, ere поэт.
rudus | I rudus n
ruficaudatus | ruficaudatus, a, um биолог.
ruficaudus | ruficaudus, a, um биолог.
ruficollis | ruficollis, e биолог.
ruga | ruga, ae f
ruina | ruina, ae f
ruinosus | ruinosus, a, um поэт.
Rumina | Rumina, ae f
Ruminalis | Ruminalis ficus f
ruminatio | ruminatio, onis f
rumor | rumor, oris m
rumpia | rumpia, ae f
rumpo | rumpo, rupi, ruptum, ere pass.
rumusculus | rumusculus, i m
ruo | ruo, rui, rutum, ere part.
rupes | rupes, is f
rupicapra | rupicapra, ae f
ruptor | ruptor, oris m
ruptura | ruptura, ae f
ruricola | ruricola, ae m
rurigena | rurigena, ae m
rurigenae | rurigenae, arum m
rursus | rursus adv.
rus | rus, ruris n
ruscum | ruscum, i n
Ruspirinum | Ruspirin(um, i n
rustica | rustica, ae f
rusticatio | rusticatio, onis f
rustice | rustice adv.
rusticitas | rusticitas, atis f
rusticulus | rusticulus, i m
rusticus | I rusticus, a, um m
ruta | ruta, ae f
Rutabionum | Rutabion(um, i n
Rutaminum | Rutamin(um, i n
Rutinum | Rutin(um, i n
Rutophyllinum | Rutophyllin(um, i n
Rutosidum | Rutosid(um, i n
rutrum | rutrum, i n
rutula | rutula, ae f
Ruvitum | Ruvit(um, i n
rynchophyllus | rynchophyllus, a, um биолог.
