 
direptio | direptio, onis f
direptor | direptor, oris m
diribitio | diribitio, onis f
diribitor | diribitor, oris m
diritas | diritas, atis f
dirumpo | dirumpo (disrumpo), rupi, ruptum, ere pass.
diruo | diruo, rui, rutum, ere pass.
Dis | Dis (Ditis), Ditis m
dis | dis, ditis m
Disalunilum | Disalunil(um, i n
disarticulatio | disarticulatio, onis f
discedo | discedo, cessi, cessum, ere воен.
disceptatio | disceptatio, onis f
disceptator | disceptator, oris m
discessio | discessio, onis f
discessus | discessus, us m
discidium | discidium, i n
disciplina | disciplina, ae f
discipula | discipula, ae f
discipulus | discipulus, i m
disco | disco, didici, --, ere юр.
discolor | discolor, oris поэт.
discordia | discordia, ae f
discrepatio | discrepatio, onis f
discrimen | discrimen, inis n
discriptio | discriptio, onis f
discursus | discursus, us m
discus | discus, i m
diserte | diserte adv.
Disetilum | Disetil(um, i n
disjicio | disjicio (disicio), jeci, jectum, ere воен.
disjuncte | disjuncte (dijuncte) adv.
disjunctio | disjunctio (dijunctio), onis f
dispendium | dispendium, i n
dispensarium | dispensarium, i n
dispensatio | dispensatio, onis f
dispensator | dispensator, oris m
disperse | disperse adv.
dispersio | dispersio, onis f
disposite | disposite adv.
dispositio | dispositio, onis f
disputatio | disputatio, onis f
disquisitio | disquisitio, onis f
disseminatio | disseminatio, onis f
disseminatus | disseminatus, a, um мед.
dissensio | dissensio, onis f
dissensus | dissensus, us m
disserenascit | disserenascit, avit, --, ere impers.
dissimiliter | dissimiliter adv.
dissimilitudo | dissimilitudo, inis f
dissimulanter | dissimulanter adv.
dissimulatio | dissimulatio, onis f
dissimulatur | dissimulatur, oris m
dissipatio | dissipatio, onis f
dissipo | dissipo (dissupo), avi, atum, are pass.
dissolute | dissolute adv.
dissolutio | dissolutio, onis f
dissuasio | dissuasio, onis f
dissuasor | dissuasor, oris m
distalis | distalis, e анат.
distantia | distantia, ae f
distinctio | distinctio, onis f
distineo | distineo, tinui, tentum, ere воен.
Distivitum | Distivit(um, i n
distortio | distortio, onis f
distributio | distributio, onis f
Disulfiramum | Disulfiram(um, i n
Disulforminum | Disulformin(um, i n
Disynformonum | Disynformon(um, i n
dite | dite, is n
Dithiazaninum | Dithiazanin(um, i n
Dithylinum | Dithylin(um, i n
dithyrambus | dithyrambus, i m
Ditinum | Ditin(um, i n
ditio | ditio (dicio), onis f
Ditriminum | Ditrimin(um, i n
Ditubinum | Ditubin(um, i n
Dityrinum | Dityrin(um, i n
diu | diu adv.
Diumerinum | Diumerin(um, i n
Diuramidum | Diuramid(um, i n
Diuretinum | Diuretin(um, i n
dius | dius, a, um поэт.
diuturnitas | diuturnitas, atis f
diva | diva, ae f
Divanonum | Divanon(um, i n
Divascolum | Divascol(um, i n
diverbium | diverbium, i n
divergentia | divergentia, ae f
diverse | diverse (divorse) adv.
diversorium | diversorium, i n
diverticulum | I diverticulum, i n
divertium | divertium, i n
dives | dives, itis abl.
divinatio | divinatio, onis f
divinitas | divinitas, atis f
divinitus | divinitus adv.
divinus | I divinus, a, um, поэт.
divisio | divisio, onis f
divisor | divisor, oris m
divisus | divisus, us m
divitiae | divitiae, arum f
divortium | divortium, i n
divum | divum, i n
divus | I divus, a, um m
Dlsipalum | Dlsipal(um, i n
do | do, dedi, datum, are pass.
Dobesinum | Dobesin(um, i n
Dobetinum | Dobetin(um, i n
docilitas | docilitas, atis f
docte | docte adv.
docti | docti, orum m
doctor | doctor, oris m
doctrina | doctrina, ae f
documentum | documentum, i n
Dodecavitum | Dodecavit(um, i n
Dodona | Dodona, ae f
Dodonaeus | Dodonaeus, a, um поэт.
dodrans | dodrans, antis m
Dohycamonum | Dohycamon(um, i n
Dolabella | Dolabella, ae m
dolabra | dolabra, ae f
Dolafinum | Dolafin(um, i n
Dolamidum | Dolamid(um, i n
Dolaminum | Dolamin(um, i n
Dolantinum | Dolantin(um, i n
dolatorium | dolatorium, i n
dolenter | dolenter adv.
Dolesonum | Doleson(um, i n
Dolginum | Dolgin(um, i n
dolichocarpus | dolichocarpus, a, um бот.
dolichocephalus | dolichocephalus, i m
dolichurus | dolichurus, a, um зоолог.
doliolum | doliolum, i n
Dolipolum | Dolipol(um, i n
dolium | dolium, i n
dolo | I dolo (dolon), onis m
Dolophinum | Dolophin(um, i n
Dolopia | Dolopia, ae f
Dolops | Dolops, opis m
dolor | dolor, oris m
dolosus | dolosus, a, um поэт.
dolus | dolus, i m
Dolycoris | Dolycoris, idis f
domesticus | I domesticus, a, um m
domicilium | domicilium, i n
domina | domina, ae f
dominatio | dominatio, onis f
dominatus | dominatus, us m
dominium | dominium, i n
dominus | dominus, i m
domitor | domitor, oris m
domitrix | domitrix, icis f
domus | domus, us (i) f
donarium | donarium, i n
donatio | donatio, onis f
donativum | donativum, i n
donec | donec conj.
dono | dono, avi, atum, are поэт.
donum | donum, i n
Donusa | Donusa, ae f
Dopanum | Dopan(um, i n
Dopegitum | Dopegit(um, i n
Dorcostrinum | Dorcostrin(um, i n
Dores | Dores, um m
Dorice | Dorice adv.
Doridenum | Doriden(um, i n
Dorienses | Dorienses, ium m
Doris | Doris, idis f
Dormanolum | Dormanol(um, i n
Dormigenum | Dormigen(um, i n
Dormilonum | Dormilon(um, i n
Dorminalum | Dorminal(um, i n
Dormiphanum | Dormiphan(um, i n
Dormiphenum | Dormiphen(um, i n
Dormiralum | Dormiral(um, i n
Dormisedum | Dormised(um, i n
Dormonalum | Dormonal(um, i n
Dornavacum | Dornavac(um, i n
dorsalis | dorsalis, e анат.
Dorsedinum | Dorsedin(um, i n
dorsolateralis | dorsolateralis, e анат.
dorsoventralis | dorsoventralis, e анат.
dorsum | dorsum, i n
Dorylaeum | Dorylaeum (Dorylaum), i n
Dorylenses | Dorylenses, ium m
dos | dos, dotis f
dosis | dosis, is f
drachma | drachma, ae f
draco | draco, onis m
draconigena | draconigena, ae m
dragee | dragee indecl.
Drancae | Drancae (Drangae), arum m
Drangae | Drangae, arum m
Drepanitani | Drepanitani, orum m
Drepanum | Drepanum, i n
Driolum | Driol(um, i n
Drisdolum | Drisdol(um, i n
Droleptanum | Droleptan(um, i n
Dromos | Dromos, i m
Droperidolum | Droperidol(um, i n
Drotaverinum | Drotaverin(um, i n
Droxolum | Droxol(um, i n
Druentia | Druentia, ae m
Druidae | Druidae (Dryidae), arum m
Druides | Druides, um m
