 
iambus | iambus, i m
innuptae | innuptae, arum f
inodorus | inodorus, a, um биолог.
Inonotus | Inonotus, i m
inopia | inopia, ae f
inopinato | inopinato adv.
inopinatum | inopinatum, i n
inornatus | inornatus, a, um поэт.
inquam | inquam defect.
inquilinus | inquilinus, i m
inquisitio | inquisitio, onis f
inquisitor | inquisitor, oris m
insane | insane adv.
insania | insania, ae f
inscienter | inscienter adv.
inscientia | inscientia, ae f
inscite | inscite adv.
inscitia | inscitia, ae f
inscriptio | inscriptio, onis f
insectatio | insectatio, onis f
insectator | insectator, oris m
insectivorum | insectivorum, i n
insectivorus | insectivorus, a, um биолог.
insectum | insectum, i n
insertio | insertio, onis f
insidiae | insidiae, arum f
insidiator | insidiator, oris m
insidiose | insidiose adv.
insigne | insigne, is n
insignite | insignite adv.
insignitus | I insignitus, a, um part.
insimulatio | insimulatio, onis f
insipidus | insipidus, a, um мед.
insitio | insitio, onis f
insolabiliter | insolabiliter adv.
insolenter | insolenter adv.
insolentia | insolentia, ae f
insolitus | insolitus, a, um pass.
insomnia | insomnia, ae f
insomnium | insomnium, i n
instans | I instans, antis n
instar | I instar n
instauratio | instauratio, onis f
instimulator | instimulator, oris m
instita | instita, ae f
institor | institor, oris m
institutum | institutum, i n
instructio | instructio, onis f
instructius | instructius adv.
instructor | instructor, oris m
instrumentum | instrumentum, i n
insueta | insueta adv.
insuetus | I insuetus, a, um part.
insufficientia | insufficientia, ae f
insula | insula, ae f
Insulinum | Insulin(um, i n
insulsitas | insulsitas, atis f
insultus | insultus, us m
insuo | insuo, sui, sutum, ere поэт.
insuper | insuper adv.
Intebanum | Inteban(um, i n
integer | integer, gra, grum поэт.
integumentum | integumentum, i n
Intencordinum | Intencordin(um, i n
Intensacromum | Intensacrom(um, i n
Intensainum | Intensain(um, i n
Intensolum | Intensol(um, i n
intentio | intentio, onis f
inter | inter praep.
interalveolaris | interalveolaris, e анат.
interamenta | interamenta, orum n
interannularis | interannularis, e анат.
interarcualis | interarcualis, e анат.
interarticularis | interarticularis, e анат.
interarytenoideus | interarytenoideus, a, um анат.
interatrialis | interatrialis, e анат.
Intercainum | Intercain(um, i n
intercalaris | intercalaris, e анат.
intercalatus | intercalatus, a, um анат.
intercapitalis | intercapitalis, e анат.
intercarpeus | intercarpeus, a, um анат.
intercartilagineus | intercartilagineus, a, um анат.
intercavernosus | intercavernosus, a, um анат.
intercellularis | intercellularis, e анат.
interceptio | interceptio, onis f
interceptor | interceptor, oris m
