biflagellatus | biflagellatus, a, um биолог.
biflorus | biflorus, a, um бот.
bifurcatio | bifurcatio, onis f
bigae | bigae, arum f
bigatus | I bigatus, a, um m
Bigerra | Bigerra, ae f
Bigerriones | Bigerriones, um m
Bigumalum | Bigumalum, i n
bijugi | bijugi, orum m
Bilbilis | Bilbilis, is f
Biletanum | Biletanum, i n
bilibra | bilibra, ae f
Bilicholum | Bilicholum, i n
bilifer | bilifer, era, erum анат.
Bilignostum | Bilignostum, i n
Biligrafinum | Biligrafinum, i n
bilirubinicus | bilirubinicus, a, um мед.
bilirubinum | bilirubinum, i, n
bilirubinuria | bilirubinuria, ae f
bilis | bilis, is f
Biliselectanum | Biliselectanum, i n
Bilitestum | Bilitestum, i n
Bilitonum | Bilitonum, i n
Bilitrastum | Bilitrastum, i n
Bilizorinum | Bilizorinum, i n
Bilospectum | Bilospectum, i n
bimaritus | bimaritus, i m
bimater | bimater, tris m
binauralis | binauralis, e анат.
Bingium | Bingium, i n
bini | bini, ae, a gen.
binoculum | binoculum, i m
Binotalum | Binotalum, i n
binuclearis | binuclearis, e биолог.
Bio | Bio, onis m
Biobamatum | Biobamatum, i n
Biocodonum | Biocodonum, i n
Biocorum | Biocorum, i n
biogenesis | biogenesis, is f
biogenus | biogenus, a, um биолог.
Biogluminum | Biogluminum, i n
Biogrisinum | Biogrisinum, i n
biologia | biologia, ae f
biologus | biologus, i m
Biomycinum | Biomycinum, i n
Bion | Bion (Bio), onis m
Bioparum | Bioparum, i n
Biophenicolum | Biophenicolum, i n
biopsia | biopsia, ae f
Biossedum | Biossedum, i n
Bioxilasa | Bioxilasa, ae f
bipartito | bipartito adv.
bipedes | bipedes, um m
bipennatus | bipennatus, a, um анат.
bipennis | I bipennis, e f
Biperidinum | Biperidinum, i n
bipolaris | bipolaris, e анат.
biremis | I biremis, e f
birota | birota, ae f
birotarius | birotarius, i m
birretum | birretum, i n
Birutanum | Birutanum, i n
bis | bis adv.
Bisacodylum | Bisacodylum, i n
Bisaltae | Bisaltae, arum m
Bisaltia | Bisaltia (Besaltica) ae f
Bisaltis | Bisaltis, idis f
Bisanthe | Bisanthe, es f
Bismuthum | Bismuthum, i n
Bistones | Bistones, um m
Bistonis | I Bistonis, idis f
bistorta | bistorta, ae f
Bistrium | Bistrium, i n
Bithiolum | Bithiolum, i n
Bithiurolum | Bithiurolum, i n
Bithyni | Bithyni, orum m
Bithynia | Bithynia, ae f
Bithynis | Bithynis, idis f
Bito | Bito, onis m
Biton | Biton (Bito), onis m
bitumen | bitumen, inis n
Bituriges | Bituriges, um m
bivalvis | bivalvis, e биолог.
Bivelinum | Bivelinum, i n
biventer | biventer, tra, trum анат.
biventricus | biventricus, a, um анат.
bivium | bivium, i n
Blanda | Blanda, ae f
Blandae | Blandae, arum f
blande | blande adv.
blandimentum | blandimentum, i n
blanditia | blanditia, ae f
blastopathia | blastopathia, ae f
blastula | blastula, ae f
blastus | blastus, i m
Blatella | Blatella, ae f
blatta | blatta, ae f
blattodeus | blattodeus, a, um зоолог.
Blattoptera | Blattoptera, orum n
blattopterus | blattopterus, a, um зоолог.
Blaudus | Blaudus, i m
blepharitis | blepharitis, idis f
blepharon | blepharon, i n
blepharoplastica | blepharoplastica, ae f
blepharoptosis | blepharoptosis, is f
blepharospasmus | blepharospasmus, i m
blepharotomia | blepharotomia, ae f
Bocchar | Bocchar, aris m
bocchus | I bocchus, i m
Boebe | Boebe, es f
Boebeis | Boebeis, idis f
boeotarchus | boeotarchus, ae m
Boeoti | Boeoti, orum m
Boeotia | Boeotia, ae f
Boethus | Boethus, i m
Bogud | Bogud, udis m
Boja | Boja, ae f
Boji | Boji, orum m
Bojohaemum | Bojohaemum, i n
Bola | Bola, ae f
Bolae | Bolae, arum f
Bolani | Bolani, orum m
Bolus | Bolus, i m
Bombus | Bombus, i m
Bomilcar | Bomilcar, aris m
Bona | Bona Dea f
bonitas | bonitas, atis f
Bonna | Bonna, ae f
Bononia | Bononia, ae f
bonum | bonum, i n
bonus | bonus, a, um compar.
Bootes | Bootes, ae (и is) m
Bora | Bora, ae m
Borax | Borax, acis f
Boreas | Boreas, ae m
boricus | boricus, a, um хим.
Borysthenes | Borysthenes, is m
bos | bos, bovis m
Bosporani | Bosporani, orum m
Bosporus | Bosporus, i m
botulus | botulus, i m
Bovianum | Bovianum, i n
Bovidae | Bovidae, arum f
Bovillae | Bovillae, arum f
bracae | bracae (bracca), arum f
bracatus | bracatus (braccatus), a, um геогр.
brachia | brachia, orum n
brachicephalus | brachicephalus, i m
brachiocephalicus | brachiocephalicus, a, um анат.
brachium | brachium, i n
brachyarthrus | brachyarthrus, a, um биолог.
brachycephalia | brachycephalia, ae f
brachydactylus | brachydactylus, a, um зоолог.
brachyglossus | brachyglossus, a, um биолог.
brachygnathia | brachygnathia, ae f
brachypterus | brachypterus, a, um зоолог.
bractea | bractea (brattea), ae f
bradycardia | bradycardia, ae f
bradykinesia | bradykinesia, ae f
bradyphagia | bradyphagia, ae f
branchialis | branchialis, e анат.
Branchidae | Branchidae, arum m
Branchiopoda | Branchiopoda, orum n
Brannovii | Brannovii, orum m
Brassica | Brassica, ae f
brattea | I brattea, ae f
Bratuspantium | Bratuspantium, i n
bregma | bregma, atis n
bregmaticus | bregmaticus, a, um анат.
Brennus | Brennus, i m
Bretylanum | Bretylanum, i n
Breuni | Breuni, orum m
breviacaudatus | breviacaudatus, a, um зоолог.
Brevidilum | Brevidilum, i n
Brevisomnolum | Brevisomnolum, i n
brevitas | brevitas, atis f
breviter | breviter adv.
Briareyus | Briareyus, ei m
Brigantes | Brigantes, um m
Briniates | Briniates, um m
Briseis | Briseis, idos f
Bristopenum | Bristopenum, i n
Britacilum | Britacilum, i n
Britannia | Britannia, ae f
Britannus | I Britannus, a, um m
Britapenum | Britapenum, i n
Britomartis | Britomartis, is f
Brixellum | Brixellum, i n
Brixia | Brixia, ae f
Brogitarus | Brogitarus, i m
Bromadalum | Bromadalum, i n
bromatus | bromatus, a, um хим.
bromidum | bromidum, i n
Bromum | Bromum, i n
bronchialis | bronchialis, e ����.
bronchiolus | bronchiolus, i m
bronchitis | bronchitis, idis f
bronchoectasis | bronchoectasis, is f
bronchoesophageus | bronchoesophageus, a, um анат.
bronchograghia | bronchograghia, ae f
bronchomediastinalis | bronchomediastinalis, e анат.
bronchopneumonia | bronchopneumonia, ae f
bronchopulmonalis | bronchopulmonalis, e анат.
bronchostenosis | bronchostenosis, is f
bronchus | bronchus, i m
Bruchus | Bruchus, i m
Bructeri | Bructeri, orum m
bruma | bruma, ae f
Brumius | Brumius, i m
Brundisium | Brundisium (реже Brundusium), i n
Brundusium | Brundusium, i m
Bruttii | Bruttii, orum m
brutus | I brutus, a, um m
Bubassus | Bubassus, i f
Bubastis | Bubastis, is f
Bubasus | Bubasus f
bubo | bubo, onis m
