 
pediaeus | pediaeus, a, um анат.
pedica | pedica, ae f
pediculus | pediculus, i m
pedidius | pedidius, a, um анат.
pedisequa | pedisequa, ae f
pedisequus | I pedisequus, a, um m
peditatus | peditatus, us m
Pedrolonum | Pedrolonum, i n
pedum | pedum, i n
peduncularis | peduncularis, e анат.
pedunculus | pedunculus, i m
Peflavitum | Peflavitum, i n
Pegasiformes | Pegasiformes, ium f
Pegasos | Pegasos (-us), i m
pegma | pegma, atis n
Pehanormum | Pehanormum, i n
pejor | pejor compar.
pejus | pejus compar.
pelagus | pelagus, i n
Pelasgi | Pelasgi, orum m
Pelazidum | Pelazidum, i n
Pelentanum | Pelentanum, i n
Peleus | Peleus (= Pele^us), ei (eos) m
Pelides | Pelides, ae m
Pelion | Pelion, i n
Pella | Pella, ae f
Pellagraminum | Pellagraminum, i n
pellectio | pellectio, onis f
pellicula | pellicula, ae f
pellis | pellis, is f
pello | pello, pepuli, pulsum, ere поэт.
pellucidus | pellucidus, a, um анат.
Pelminum | Pelminum, i n
Peloidinum | Peloidinum, i n
Peloidodestillatum | Peloidodestillatum, i n
Peloninum | Peloninum, i n
Peloponnesos | Peloponnesos (-us), i f
Pelops | Pelops, opis m
peloris | peloris, idis f
pelta | pelta, ae f
peltastae | peltastae, arum m
pelusia | pelusia, ae f
pelvinus | pelvinus, a, um анат.
Pelviranum | Pelviranum, i n
pelvis | pelvis, is f
Pemalinum | Pemalinum, i n
pemma | pemma, ae f
Penadurum | Penadurum, i n
penates | penates, ium m
Penbritinum | Penbritinum, i n
pendeo | pendeo, pependi, --, ere поэт.
Pendeponum | Pendeponum, i n
Pendiomidum | Pendiomidum, i n
pendulus | pendulus, a, um поэт.
pene | pene adv.
Penelopa | Penelopa, ae f
penes | penes praep.
Penesterum | Penesterum, i n
Penethacillinum | Penethacillinum, i n
penetralia | penetralia, ium n
penicilli | penicilli, orum m
Penicillinasum | Penicillinasum, i n
Penicillinum | Penicillinum, i n
penicillum | penicillum, i n
penicillus | penicillus, i m
peniciter | peniciter adv.
peninsula | peninsula, ae f
penis | penis, is m
penitus | penitus adv.
penna | penna, ae f
pennula | pennula, ae f
pensio | pensio, onis f
Penstaphocidum | Penstaphocidum, i n
pensum | pensum, i n
Pentabismolum | Pentabismolum, i n
Pentacidum | Pentacidum, i n
Pentacinum | Pentacinum, i n
pentadactylus | pentadactylus, a, um биолог.
Pentafinum | Pentafinum, i n
Pentalginum | Pentalginum, i n
Pentalongum | Pentalongum, i n
Pentalum | Pentalum, i n
Pentamethazenum | Pentamethazenum, i n
Pentamethazolum | Pentamethazolum, i n
Pentamethonum | Pentamethonum, i n
Pentaminum | Pentaminum, i n
Pentamylonum | Pentamylonum, i n
Pentanitritum | Pentanitritum, i n
Pentanitrolum | Pentanitrolum, i n
pentaradialis | pentaradialis, e биолог.
Pentarylum | Pentarylum, i n
Pentarytum | Pentarytum, i n
Pentavitolum | Pentavitolum, i n
Pentazolum | Pentazolum, i n
Pentetrazolum | Pentetrazolum, i n
Penthranum | Penthranum, i n
Pentilenum | Pentilenum, i n
Pentitratum | Pentitratum, i n
Pentonum | Pentonum, i n
Pentovitum | Pentovitum, i n
Pentoxylum | Pentoxylum, i n
Pentoxyverinum | Pentoxyverinum, i n
Pentralum | Pentralum, i n
Pentranum | Pentranum, i n
Pentrazolum | Pentrazolum, i n
Pentrexum | Pentrexum, i n
Pentrexylum | Pentrexylum, i n
Pentritolum | Pentritolum, i n
Pentritta | Pentritta, ae f
Pentylentetrazolum | Pentylentetrazolum, i n
Pentylum | Pentylum, i n
penuria | penuria, ae f
penus | I penus, oris n
peplum | peplum, i n
peplus | peplus, i m
Pepsacidum | Pepsacidum, i n
Pepsaminum | Pepsaminum, i n
Pepsinum | Pepsinum, i n
Pepulsanum | Pepulsanum, i n
per | per praep.
pera | pera, ae f
Peraconum | Peraconum, i n
peractio | peractio, onis f
peracute | peracute adv.
