leo |  leo, onis m
Leontice |  Leontice, es f
Leontini |  Leontini, orum m
Leonurus |  Leonurus, i f
Leopentalum |  Leopental(um, i n
Leostesinum |  Leostesin(um, i n
lepidocarpus |  lepidocarpus, a, um биолог.
lepidopterus |  lepidopterus, a, um биолог.
lepidus |  I lepidus, a, um m
Lepimidinum |  Lepimidin(um, i n
Lepinalum |  Lepinal(um, i n
Leplosuccinum |  Leplosuccin(um, i n
lepor |  lepor (lepos), oris m
Lepsiralum |  Lepsiral(um, i n
Leptazolum |  Leptazol(um, i n
Leptidrolum |  Leptidrol(um, i n
Leptinotarsa |  Leptinotarsa, ae f
leptodactylus |  leptodactylus, a, um биолог.
leptomeninx |  leptomeninx, ingis f
leptourus |  leptourus, a, um биолог.
lepus |  lepus, oris m
lepusculus |  lepusculus, i m
Lerna |  Lerna, ae f
Lesbias |  Lesbias, adis f
Lesbis |  Lesbis, idis f
Lesbos |  Lesbos, i f
letalia |  letalia, ium n
letalis |  letalis, e
lethargicus |  lethargicus, i m
lethargus |  lethargus, i m
Lethe |  Lethe, es f
Lethidronum |  Lethidron(um, i n
letifer |  letifer, era, erum
leto |  leto, avi, atum, are
letum |  letum, i n
Leucadia |  Leucadia, ae f
leucaspis |  leucaspis, idis f
Leuceranum |  Leuceran(um, i n
leucochilus |  leucochilus, a, um биолог.
leucocytosis |  leucocytosis, is f
leucocyturia |  leucocyturia, ae f
leucocytus |  leucocytus, i m
leucoderma |  leucoderma, atis n
Leucogenum |  Leucogen(um, i n
leucolysis |  leucolysis, is f
leucopenia |  leucopenia, ae f
leucopoesis |  leucopoesis, is f
leucopterus |  leucopterus, a, um биолог.
leucosis |  leucosis, is f
Leuctra |  Leuctra, orum n
Leukeranum |  Leukeran(um, i n
Leukomycinum |  Leukomycin(um, i n
Leukosulfanum |  Leukosulfan(um, i n
Leunervalum |  Leunerval(um, i n
Leupurinum |  Leupurin(um, i n
Leurocristinum |  Leurocristin(um, i n
Leuzea |  Leuzea, ae f
levamen |  levamen, inis n
levamentum |  levamentum, i n
Levarterenolum |  Levarterenol(um, i n
levatio |  levatio, onis f
levator |  levator, oris m
levipes |  levipes, edis
levis |  I levis (laevis), e биолог.
levitas |  levitas, atis f
leviter |  leviter adv.
levo |  I levo (laevo), avi, atum, are
Levophedum |  Levophed(um, i n
Levopromazinum |  Levopromazin(um, i n
Levoreninum |  Levorenin(um, i n
Levorinum |  Levorin(um, i n
Levorphanolum |  Levorphanol(um, i n
Levorphanum |  Levorphan(um, i n
lex |  lex, legis f
libamen |  libamen, inis n
libamentum |  libamentum, i n
libatio |  libatio, onis f
libella |  libella, ae f
libellus |  libellus, i m
libens |  libens (lubens), entis
libenter |  libenter (lubenter) adv.
Libentina |  Libentina, ae f
liber |  I liber, bri m
liber | II liber, era, erum
Libera |  Libera, ae f
Liberalia |  Liberalia, ium n
liberalis |  liberalis, e
liberalitas |  liberalitas, atis f
liberaliter |  liberaliter adv.
liberatio |  liberatio, onis f
liberator |  liberator, oris m
libere |  libere adv.
liberi |  liberi, orum (um) m
libero |  libero, avi, atum, are
liberta |  liberta, ae f
libertas |  libertas, atis f
libertina |  libertina, ae f
libertinus |  libertinus, i m
libertus |  libertus, i m
libet |  libet (lubet), buit (bitum est), ere impers.
Libexinum |  Libexin(um, i n
libidinose |  libidinose adv.
libidinosus |  libidinosus, a, um
libido |  libido (lubido), inis f
libita |  libita, orum n
Libitina |  Libitina, ae f
libo |  libo, avi, atum, are
libra |  libra, ae f
libramentum |  libramentum, i n
librariolus |  librariolus, i m
librarium |  librarium, i n
librarius |  I librarius, a, um m
librator |  librator (libritor), oris m
libratus |  libratus, a, um
librilis |  librilis, e
libritor |  libritor, oris m
Librium |  Librium, i n
libro |  libro, avi, atum, are
libum |  libum, i n
Liburni |  Liburni, orum m
Libya |  Libya, ae f
licens |  licens, entis
licenter |  licenter adv.
licentia |  licentia, ae f
liceo |  liceo, cui, citum, ere
liceor |  liceor, citus sum, eri
licet |  licet, cuit (citum est), ere impers.
Licinius |  Licinius, a, um
licitatio |  licitatio, onis f
licitator |  licitator, oris m
licitus |  licitus, a, um
licium |  licium, i n
lictor |  lictor, oris m
Lidazinum |  Lidazin(um, i n
lien |  lien, enis m
lienalis |  lienalis, e анат.
ligamen |  ligamen, inis n
ligamentosus |  ligamentosus, a, um анат.
ligamentum |  ligamentum, i n
Liger |  Liger, eris m
lignarius |  lignarius, i m
lignatio |  lignatio, onis f
lignator |  lignator, oris m
ligneolus |  ligneolus, a, um
Lignocainum |  Lignocain(um, i n
