Bithyni |  Bithyni, orum m
Bithynia |  Bithynia, ae f
Bithynicus |  Bithynicus, a, um
Bithynis |  Bithynis, idis f
Bithynus |  Bithynus, a, um
Bito |  Bito, onis m
Biton |  Biton (Bito), onis m
bitumen |  bitumen, inis n
bitumineus |  bitumineus, a, um
Bituriges |  Bituriges, um m
bivalvis |  bivalvis, e биолог.
Bivelinum |  Bivelin(um, i n
biventer |  biventer, tra, trum анат.
biventricus |  biventricus, a, um анат.
bivium |  bivium, i n
bivius |  bivius, a, um
blaesus |  blaesus, a, um
Blanda |  Blanda, ae f
Blandae |  Blandae, arum f
blande |  blande adv.
blandimentum |  blandimentum, i n
blandior |  blandior, itus sum, iri
blanditia |  blanditia, ae f
blandus |  blandus, a, um
blastopathia |  blastopathia, ae f
blastula |  blastula, ae f
blastus |  blastus, i m
Blatella |  Blatella, ae f
blatero |  blatero, avi, atum, are
blatta |  blatta, ae f
blattodeus |  blattodeus, a, um зоолог.
Blattoptera |  Blattoptera, orum n
blattopterus |  blattopterus, a, um зоолог.
Blaudenius |  Blaudenius, a, um
Blaudus |  Blaudus, i m
blepharitis |  blepharitis, idis f
blepharon |  blepharon, i n
blepharoplastica |  blepharoplastica, ae f
blepharoptosis |  blepharoptosis, is f
blepharospasmus |  blepharospasmus, i m
blepharotomia |  blepharotomia, ae f
boarius |  boarius, a, um
Bocchar |  Bocchar, aris m
bocchus |  I bocchus, i m
Boebe |  Boebe, es f
Boebeis |  Boebeis, idis f
Boebejus |  Boebejus, a, um
boeotarchus |  boeotarchus, ae m
Boeoti |  Boeoti, orum m
Boeotia |  Boeotia, ae f
Boeotius |  Boeotius, a, um
Boeotus |  Boeotus, a, um
Boethus |  Boethus, i m
Bogud |  Bogud, udis m
Boja |  Boja, ae f
Boji |  Boji, orum m
Bojohaemum |  Bojohaemum, i n
Bola |  Bola, ae f
Bolae |  Bolae, arum f
Bolani |  Bolani, orum m
Bolanus |  Bolanus, a, um
Bolus |  Bolus, i m
Bombus |  Bombus, i m
Bomilcar |  Bomilcar, aris m
Bona |  Bona Dea f
bonitas |  bonitas, atis f
Bonna |  Bonna, ae f
Bonnensis |  Bonnensis, e
Bononia |  Bononia, ae f
Bononiensis |  Bononiensis, e
bonum |  bonum, i n
bonus |  bonus, a, um compar.
boo |  boo, avi, --, are
Bootes |  Bootes, ae (и is) m
Bora |  Bora, ae m
Borax |  Borax, acis f
Boreas |  Boreas, ae m
boreus |  boreus, a, um
boricus |  boricus, a, um хим.
Borysthenes |  Borysthenes, is m
bos |  bos, bovis m
Bosporani |  Bosporani, orum m
Bosporanus |  Bosporanus, a, um
Bosporius |  Bosporius, a, um
Bosporus |  Bosporus, i m
botulus |  botulus, i m
Bovianum |  Bovianum, i n
Bovidae |  Bovidae, arum f
Bovillae |  Bovillae, arum f
Bovillanus |  Bovillanus, a, um
bovillus |  bovillus, a, um
bracae |  bracae (bracca), arum f
bracatus |  bracatus (braccatus), a, um геогр.
brachia |  brachia, orum n
brachialis |  brachialis, e
brachicephalus |  brachicephalus, i m
brachiocephalicus |  brachiocephalicus, a, um анат.
brachium |  brachium, i n
brachyarthrus |  brachyarthrus, a, um биолог.
brachycephalia |  brachycephalia, ae f
brachydactylus |  brachydactylus, a, um зоолог.
brachyglossus |  brachyglossus, a, um биолог.
brachygnathia |  brachygnathia, ae f
brachypterus |  brachypterus, a, um зоолог.
bractea |  bractea (brattea), ae f
bradycardia |  bradycardia, ae f
bradykinesia |  bradykinesia, ae f
bradyphagia |  bradyphagia, ae f
branchialis |  branchialis, e анат.
Branchidae |  Branchidae, arum m
Branchiopoda |  Branchiopoda, orum n
Brannovices |  Brannovices
Brannovii |  Brannovii, orum m
Brassica |  Brassica, ae f
brattea |  I brattea, ae f
Brattianus |  Brattianus, a, um
Bratuspantium |  Bratuspantium, i n
bregma |  bregma, atis n
bregmaticus |  bregmaticus, a, um анат.
Brennus |  Brennus, i m
Bretylanum |  Bretylan(um, i n
Breuni |  Breuni, orum m
breviacaudatus |  breviacaudatus, a, um зоолог.
Brevidilum |  Brevidil(um, i n
brevis |  brevis, e
Brevisomnolum |  Brevisomnol(um, i n
brevitas |  brevitas, atis f
breviter |  breviter adv.
Briareyus |  Briareyus, ei m
Brigantes |  Brigantes, um m
Briganticus |  Briganticus, a, um
Briniates |  Briniates, um m
Briseis |  Briseis, idos f
Bristopenum |  Bristopen(um, i n
Britacilum |  Britacil(um, i n
Britannia |  Britannia, ae f
Britannicus |  Britannicus, a, um
Britannus |  I Britannus, a, um m
Britapenum |  Britapen(um, i n
Britomartis |  Britomartis, is f
Brixellum |  Brixellum, i n
Brixia |  Brixia, ae f
Brixianus |  Brixianus, а, um
Brogitarus |  Brogitarus, i m
Bromadalum |  Bromadal(um, i n
bromatus |  bromatus, a, um хим.
bromidum |  bromidum, i n
Bromum |  Bromum, i n
bronchialis |  bronchialis, e анат.
bronchiolus |  bronchiolus, i m
bronchitis |  bronchitis, idis f
bronchoectasis |  bronchoectasis, is f
bronchoesophageus |  bronchoesophageus, a, um анат.
bronchograghia |  bronchograghia, ae f
bronchomediastinalis |  bronchomediastinalis, e анат.
bronchopneumonia |  bronchopneumonia, ae f
bronchopulmonalis |  bronchopulmonalis, e анат.
bronchostenosis |  bronchostenosis, is f
bronchus |  bronchus, i m
Bruchus |  Bruchus, i m
Bructeri |  Bructeri, orum m
Bructerus |  Bructerus, a, um
bruma |  bruma, ae f
brumalis |  brumalis, e
Brumius |  Brumius, i m
Brundisium |  Brundisium (реже Brundusium), i n
Brundusium |  Brundusium, i m
Brutianus |  Brutianus, a, um
Brutinus |  Brutinus, а, um
Bruttii |  Bruttii, orum m
Bruttius |  Bruttius, a, um
brutus |  I brutus, a, um m
Bubasis |  Bubasis, idis
Bubassus |  Bubassus, i f
Bubastis |  Bubastis, is f
Bubasus |  Bubasus f
bubo |  bubo, onis m
bubulcus |  bubulcus, i m
Bucarbanum |  Bucarban(um, i n
bucca |  bucca, ae f
buccalis |  buccalis, e анат.
buccin |  buccin...
buccina |  buccina, ae f
buccinator |  buccinator, aris m
buccinatorius |  buccinatorius, a, um анат.
buccopharyngeus |  buccopharyngeus, a, um анат.
Bucephala |  I Bucephala, ae f
Bucephalas |  Bucephalas, ae m
Bucephale |  Bucephale, es f
Bucephalus |  I Bucephalus, i f
buceros |  buceros, on
bucerus |  bucerus, a, um
bucina |  bucina (buccina), ae f
bucinator |  bucinator (buccinator), oris m
bucolica |  bucolica, orum n
bucolicus |  bucolicus, a, um
bucula |  bucula, ae f
Budalia |  Budalia, ae f
bufo |  bufo, onis m
Buforminum |  Buformin(um, i n
bulbiformis |  bulbiformis, e анат.
bulbourethralis |  bulbourethralis, e анат.
bulbus |  bulbus, i m
buleuterion |  buleuterion (-um), i n
Bulgaria |  Bulgaria, ae f
bulla |  bulla, ae f
Bullidenses |  Bullidenses, ium m
Bullienses |  Bullienses, ium m
Bullini |  Bullini, orum m
Bulliones |  Bulliones, um m
Bullis |  Bullis (Byllis), idis f
bullosus |  bullosus, a, um
bumastus |  bumastus, i f
Bupalus |  Bupalus, i m
Bupatolum |  Bupatol(um, i n
Buplerinum |  Buplerin(um, i n
Burdigala |  Burdigala, ae f
Burdilorum |  Burdilor(um, i n
burgensis |  burgensis, is m
Buri |  Buri, orum m
buris |  buris, is f
bursa |  bursa, ae f
Burysthenius |  Burysthenius, a, um
Busiris |  Busiris, idis m
bustuarius |  bustuarius, a, um
bustum |  bustum, i n
Butadionum |  Butadion(um, i n
Butalginum |  Butalgin(um, i n
Butalidonum |  Butalidon(um, i n
Butapyrinum |  Butapyrin(um, i n
Butartilum |  Butartil(um, i n
Butazolidinum |  Butazolidin(um, i n
Butedrinum |  Butedrin(um, i n
Buthrotii |  Buthrotii, orum m
Buthrotius |  Buthrotius, а, um
Buthrotum |  Buthrotum, i n
Buthrotus |  Buthrotus, i f
Butrotus |  Butrotus, i m
Butylcainum |  Butylcain(um, i n
Butylnorsympatolum |  Butylnorsympatol(um, i n
Butylnorsynephrinum |  Butylnorsynephrin(um, i n
Butylpyrinum |  Butylpyrin(um, i n
Buxentum |  Buxentum, i n
buxus |  buxus, i f
Byblis |  Byblis, idis f
Byllis |  Byllis, idis f
Byrsa |  Byrsa, ae f
Byzantii |  Byzantii, orum m
Byzantium |  Byzantium, i n
Byzantius |  Byzantius, a, um
