incesto |  incesto, --, --, are
incestum |  incestum, i n
incestus |  I incestus, a, um m
inchoatus |  inchoatus, a, um
inchoo |  inchoo (incoho), avi, atum, are
Incidalum |  Incidal(um, i n
incido |  I incido, cidi, --, ere impers.
incingo |  incingo, cinxi, cinctum, ere
incipio |  incipio, cepi, ceptum, ere
incisivus |  I incisivus, a, um анат.
incisura |  incisura, ae f
incitamentum |  incitamentum, i n
incitatio |  incitatio, onis f
incitatus |  incitatus, a, um
incito |  incito, avi, atum, are pass.
incitus |  incitus, a, um
inclamo |  inclamo, avi, atum, are
inclemens |  inclemens, entis
inclementer |  inclementer adv.
inclementia |  inclementia, ae f
inclinatio |  inclinatio, onis f
inclinatus |  inclinatus, a, um
inclino |  inclino, avi, atum, are pass.
inclitus |  inclitus
includo |  includo, clusi, clusum, ere
inclusio |  inclusio, onis f
inclutus |  inclutus (inclytus, inclitus), a, um
incogito |  incogito, --, --, are
incognita |  incognita, orum n
incognitus |  incognitus, a, um
incoho |  incoho, avi, atum, are
incola |  incola, ae m
incolo |  incolo, colui, cultum, ere
incolomis |  incolomis, e
incolumis |  incolumis (incolomis), e
incolumitas |  incolumitas, atis f
incomitatus |  incomitatus, a, um
incommendatus |  incommendatus, a, um
incommode |  incommode adv.
incommoditas |  incommoditas, atis f
incommodo |  incommodo, avi, atum, are
incommodum |  incommodum, i n
incommodus |  incommodus, a, um
incompertus |  incompertus, a, um
incompletus |  incompletus, a, um мед.
incomposite |  incomposite adv.
incompositus |  incompositus, a, um
incomptus |  incomptus, a, um
inconcessus |  inconcessus, a, um
inconcinnus |  inconcinnus, a, um
incondicionalis |  incondicionalis, e
inconditus |  inconditus, a, um
inconsideratus |  inconsideratus, a, um
inconsolabilis |  inconsolabilis, e
inconstans |  inconstans, antis
inconstanter |  inconstanter adv.
inconstantia |  inconstantia, ae f
inconsulte |  inconsulte (inconsulto) adv.
inconsultus |  inconsultus, a, um
inconsumptus |  inconsumptus, a, um
incontaminatus |  incontaminatus, a, um
incontinens |  incontinens, entis
incontinentia |  incontinentia, ae f
incoquo |  incoquo, coxi, coctum, ere
Incoranum |  Incoran(um, i n
incorrectus |  incorrectus, a, um
incorrupte |  incorrupte adv.
incorruptus |  incorruptus, a, um
Incortenum |  Incorten(um, i n
increbesco |  increbesco, bui, --, ere
increbresco |  increbresco (increbesco), brui (bui), --, ere
incredibilis |  incredibilis, e
incredibiliter |  incredibiliter adv.
incredulus |  incredulus, a, um
incrementum |  incrementum, i n
Increpanum |  Increpan(um, i n
increpito |  increpito, avi, atum, are
increpo |  increpo, ui (avi), atum (itum), are
incresco |  incresco, crevi, --, ere
incruentatus |  incruentatus, a, um
incruentus |  incruentus, a, um
incrusto |  incrusto, avi, atum, are
incubo |  incubo, avi (ui), atum (itum), are
incudo |  incudo, cusus, --, ere
incudomallearis |  incudomallearis, e анат.
incudostapedius |  incudostapedius, a, um анат.
inculco |  inculco, avi, atum, are
inculpatus |  inculpatus, a, um
inculte |  inculte adv.
incultus |  I incultus, a, um m
incumbo |  incumbo, cubui, cubitum, ere
incunabula |  incunabula, orum n
incuratus |  incuratus, a, um
incuria |  incuria, ae f
incuriose |  incuriose adv.
incuriosus |  incuriosus, a, um
incurro |  incurro, curri (cucurri), cursum, ere
incursio |  incursio, onis f
incurso |  incurso, avi, atum, are
incursus |  incursus, us m
incurvo |  incurvo, avi, atum, are
incurvus |  incurvus, a, um
incus |  incus, udis f
incuso |  incuso, avi, atum, are
incustoditus |  incustoditus, a, um
incutio |  incutio, cussi, cussum, ere
Indacinum |  Indacin(um, i n
indago |  I indago, avi, atum, are f
inde |  inde adv.
indebitus |  indebitus, a, um
indeclinatus |  indeclinatus, a, um
indecore |  indecore adv.
indecoris |  indecoris, e
indecoro |  indecoro, --, --, are
indecorus |  indecorus, a, um
indefensus |  indefensus, a, um
indefessus |  indefessus, a, um
indefletus |  indefletus, a, um
indejectus |  indejectus, a, um
indelebilis |  indelebilis, e
indelibatus |  indelibatus, a, um
indemnatus |  indemnatus, a, um
indeploratus |  indeploratus, a, um
indeprensus |  indeprensus, a, um
Inderalum |  Inderal(um, i n
indesertus |  indesertus, a, um
indestrictus |  indestrictus, a, um
indetonsus |  indetonsus, a, um
indevitatus |  indevitatus, a, um
index |  index, icis m
indicativus |  indicativus, i m
indicens |  I indicens, entis part.
indicium |  indicium, i n
indico |  I indico, avi, atum, are
indictus |  I indictus, a, um поэт.
indidem |  indidem adv.
indifferens |  indifferens, entis
indigena |  indigena, ae m
indigens |  indigens, entis
indigentia |  indigentia, ae f
indigenus |  indigenus, a, um
indigeo |  indigeo, gui, --, ere
indiges |  I indiges, etis m
indigestus |  indigestus, a, um
indignabundus |  indignabundus, a, um
indignandus |  indignandus, a, um
indignans |  indignans, antis
indignatio |  indignatio, onis f
indigne |  indigne adv.
indignitas |  indignitas, atis f
indignor |  indignor, atus sum, ari
indignus |  indignus, a, um
Indigocarminum |  Indigocarmin(um, i n
indigus |  indigus, a, um
indiligens |  indiligens, entis
indiligenter |  indiligenter adv.
indiligentia |  indiligentia, ae f
indipiscor |  indipiscor, deptus sum, dipisci
indiscretus |  indiscretus, a, um
individuum |  individuum, i n
individuus |  individuus, a, um
indo |  indo, didi, ditum, ere
Indocidum |  Indocid(um, i n
indocilis |  indocilis, e поэт.
indoctus |  I indoctus, a, um поэт.
indoles |  indoles, is f
indolesco |  indolesco, dolui, --, ere
indomitus |  indomitus, a, um
Indopanum |  Indopan(um, i n
indormio |  indormio, ivi, itum, ire
indotatus |  indotatus, a, um
indu |  indu арх.
indubitatus |  indubitatus, a, um
indubito |  indubito, --, --, are
indubius |  indubius, a, um
induciae |  induciae, arum f
induco |  induco, duxi, ductum, ere
inductio |  inductio, onis f
inductus |  I inductus, a, um m
indulgens |  indulgens, entis
indulgenter |  indulgenter adv.
indulgentia |  indulgentia, ae f
indulgeo |  indulgeo, dulsi, dultum, ere
induo |  induo, dui, dutum, ere
induresco |  induresco, durui, --, ere
induro |  induro, avi, atum, are
indusium |  indusium, i n
industria |  industria, ae f
industrie |  industrie adv.
industrius |  industrius, a, um
indutiae |  indutiae, arum f
inedia |  inedia, ae f
ineditus |  ineditus, a, um
ineluctabilis |  ineluctabilis, e
inemorior |  inemorior, --, emori
inemptus |  inemptus (inemtus), a, um
inemtus |  inemtus, a, um
inenarrabilis |  inenarrabilis, e
ineo |  ineo, ii (редко ivi), itum, ire
inepte |  inepte adv.
ineptia |  ineptia, ae f
ineptus |  ineptus, a, um
inermis |  inermis, e
inermus |  inermus, a, um
iners |  iners, ertis поэт.
inertia |  inertia, ae f
ineruditus |  ineruditus, a, um
inesco |  inesco, avi, atum, are
inevectus |  inevectus, a, um
inevitabilis |  inevitabilis, e
inexcitus |  inexcitus, a, um
inexcusabilis |  inexcusabilis, e
inexcussus |  inexcussus, a, um
inexercitatus |  inexercitatus, a, um
inexhaustus |  inexhaustus, a, um
inexorabilis |  inexorabilis, e
inexpectatus |  inexpectatus
inexpeditus |  inexpeditus, a, um
inexperrectus |  inexperrectus, a, um
inexpertus |  inexpertus, a, um
inexpiabilis |  inexpiabilis, e
inexplebilis |  inexplebilis, e
inexpletus |  inexpletus, a, um
inexplicabilis |  inexplicabilis, e
inexploratus |  inexploratus, a, um
inexpugnabilis |  inexpugnabilis, e
inexspectatus |  inexspectatus, a, um
inexstinctus |  inexstinctus, a, um
inexsuperabilis |  inexsuperabilis, e
inextricabilis |  inextricabilis, e
infabre |  infabre adv.
infabricatus |  infabricatus, a, um
infacetus |  infacetus
infacundus |  infacundus, a, um
Infadinum |  Infadin(um, i n
infamia |  infamia, ae f
infamis |  infamis, e
infamo |  infamo, avi, atum, are
infanda |  infanda, orum n
infandus |  infandus, a, um
infans |  I infans, antis поэт.
infantia |  infantia, ae f
infarctus |  infarctus, us m
infatuo |  infatuo, avi, atum, are
infaustus |  infaustus, a, um
infectiosus |  infectiosus, a, um мед.
infectus |  I infectus, a, um part.
Infecundinum |  Infecundin(um, i n
infecunditas |  infecunditas, atis f
infecundus |  infecundus, a, um
infelicitas |  infelicitas, atis f
infelix |  infelix, icis
infense |  infense adv.
infensus |  infensus, a, um
inferiae |  inferiae, arum f
inferior |  inferior, ius compar.
inferius |  inferius adv.
infernus |  infernus, a, um
infero |  infero, intuli, illatum, inferre pass.
inferus |  inferus, a, um compar.
infervesco |  infervesco, ferbui, --, ere
infeste |  infeste adv.
infesto |  infesto, avi, atum, are
infestus |  infestus, a, um воен.
inficet |  inficet...
inficetus |  inficetus, a, um
inficias |  inficias
inficio |  inficio, feci, fectum, ere
inficior |  inficior
infidelis |  infidelis, e
infidelitas |  infidelitas, atis f
infidus |  infidus, a, um
infigo |  infigo, fixi, fixum, ere pass.
infimi |  infimi, orum m
infimus |  infimus (infumus), a, um superl.
infindo |  infindo, fidi, fissum, ere
infinitas |  infinitas, atis f
infinitivus |  infinitivus, a, um
infinitum |  infinitum, i n
infinitus |  infinitus, a, um
infirmatio |  infirmatio, onis f
infirmitas |  infirmitas, atis f
infirmo |  infirmo, avi, atum, are
infirmus |  infirmus, a, um
infit |  infit defect.
infitias |  infitias acc.
infitiatio |  infitiatio, onis f
infitiator |  infitiator, oris m
infitior |  infitior, atus sum, ari
inflammatio |  inflammatio, onis f
inflammo |  inflammo, avi, atum, are
inflatus |  inflatus, a, um
inflecto |  inflecto, flexi, flexum, ere pass.
infletus |  infletus, a, um
infligo |  infligo, flixi, flictum, ere
inflo |  inflo, flavi, flatum, are pass.
influo |  influo, fluxi, fluxum, ere
infodio |  infodio, fodi, fossum, ere
informis |  informis, e
informo |  informo, avi, atum, are
infortunium |  infortunium, i n
infra |  I infra adv.
infraclavicularis |  infraclavicularis, e анат.
infracorticalis |  infracorticalis, e анат.
infragilis |  infragilis, e
infraglenoidalis |  infraglenoidalis, e анат.
infraglotticus |  infraglotticus, a, um анат.
infrahyoideus |  infrahyoideus, a, um анат.
infralobaris |  infralobaris, e анат.
infraorbitalis |  infraorbitalis, e анат.
infrapalpebralis |  infrapalpebralis, e анат.
infrapatellaris |  infrapatellaris, e анат.
