medietas |  medietas, atis f
medimnum |  medimnum, i n
Medinalum |  Medinal(um, i n
medioclavicularis |  medioclavicularis, e анат.
mediocris |  mediocris, e
mediocritas |  mediocritas, atis f
mediocriter |  mediocriter adv.
Mediolanum |  Mediolanum (-ium), i n
Medisum |  Medis(um, i n
meditatio |  meditatio, onis f
meditatus |  meditatus, a, um
mediterranea |  mediterranea, orum n
mediterraneus |  mediterraneus, a, um
meditor |  meditor, atus sum, ari
medium |  medium, i n
medius |  medius, a, um
medix |  medix
medulla |  medulla, ae f
medullaris |  medullaris, e анат.
medullosus |  medullosus, a, um анат.
Medusa |  Medusa, ae f
megacolon |  megacolon, i n
Megaera |  Megaera, ae f
megalocephalia |  megalocephalia, ae f
megalocytus |  megalocytus, i m
megalodactylia |  megalodactylia, ae f
megalomania |  megalomania, ae f
megalosplenia |  megalosplenia, ae f
Megaphenum |  Megaphen(um, i n
megaphyllus |  megaphyllus, a, um биолог.
Megara |  Megara, ae f
Megibalum |  Megibal(um, i n
Megimidum |  Megimid(um, i n
mehercule |  mehercule (mehercle, mehercules) interj.
mei |  mei, orum m
mejo |  mejo, --, --, ere
Mekvalonum |  Mekvalon(um, i n
mel |  mel, mellis n
Meladininum |  Meladinin(um, i n
melania |  melania, ae f
melanochrysus |  melanochrysus, a, um биолог.
melanodermia |  melanodermia, ae f
melanoma |  melanoma, atis n
melanopterus |  melanopterus, a, um биолог.
melanosoma |  melanosoma, atis n
melanosporus |  melanosporus, a, um биолог.
melanuria |  melanuria, ae f
melanurus |  melanurus, i m
Meletinum |  Meletin(um, i n
melilotos |  melilotos, i m
melimelum |  melimelum, i n
Melinum |  Melin(um, i n
Melipraminum |  Melipramin(um, i n
melisphyllum |  melisphyllum, i n
melius |  melius compar.
Mellarilum |  Mellaril(um, i n
Mellerilum |  Melleril(um, i n
Mellictinum |  Mellictin(um, i n
mellifer |  mellifer, era, erum биолог.
Mellinesum |  Mellines(um, i n
mellitus |  mellitus, a, um мед.
melos |  melos ( pl.
Meloxinum |  Meloxin(um, i n
Melphalanum |  Melphalan(um, i n
Melpomene |  Melpomene, es f
Melsominum |  Melsomin(um, i n
Melus |  Melus, i f
membrana |  membrana, ae f
membranaceus |  membranaceus, a, um анат.
membranosus |  membranosus, a, um анат.
membratim |  membratim adv.
membrum |  membrum, i n
