cavillatio |  cavillatio, onis f
cavillor |  cavillor, atus sum, ari
cavitas |  cavitas, atis f
cavo |  cavo, avi, atum, are
cavocavalis |  cavocavalis, e анат.
Cavonylum |  Cavonyl(um, i n
cavum |  cavum, i n
cavus |  cavus, a, um
Caystrius |  Caystrius, a, um
Caystrus |  Caystrus (-os), i m
Cea |  Cea (Cia), ae f
Ceangi |  Ceangi, orum m
Cebenna |  Cebenna mons m
Cebionum |  Cebion(um, i n
Cebren |  Cebren, enis m
Cebrenis |  Cebrenis, idos f
cecalis |  cecalis, e анат.
Cecropes |  Cecropes, um m
Cecropia |  Cecropia, ae f
Cecropidae |  Cecropidae, arum m
Cecropides |  Cecropides, ae m
Cecropis |  Cecropis, idis f
Cecropius |  Cecropius, a, um
Cecrops |  Cecrops, opis m
cecum |  cecum, i n
cecus |  cecus, a, um анат.
Cedilanidum |  Cedilanid(um, i n
Cedisanolum |  Cedisanol(um, i n
Cedistabilum |  Cedistabil(um, i n
cedo |  I cedo
Cedoxinum |  Cedoxin(um, i n
cedrus |  cedrus, i f
Cefaloridinum |  Cefaloridin(um, i n
Ceflorinum |  Ceflorin(um, i n
Ceglunatum |  Ceglunat(um, i n
Cei |  Cei, orum m
Celadigalum |  Celadigal(um, i n
Celaenae |  Celaenae, arum f
Celaenaeus |  Celaenaeus, a, um
Celaeno |  Celaeno, us f
Celanidum |  Celanid(um, i n
Celbeninum |  Celbenin(um, i n
celeber |  celeber, bris, bre
celebratio |  celebratio, onis f
celebratus |  celebratus, a, um
celebritas |  celebritas, atis f
celebro |  celebro, avi, atum, are
Celemna |  Celemna, ae f
celer |  celer, eris, ere
Celeres |  Celeres, um m
celeritas |  celeritas, atis f
celeriter |  celeriter adv.
celero |  celero, avi, atum, are
Celetrum |  Celetrum, i n
Celeus |  Celeus, i m
celia |  celia, ae f
celiacus |  celiacus, a, um анат.
Celinum |  Celin(um, i n
Celiomycinum |  Celiomycin(um, i n
cella |  cella, ae f
cellula |  cellula, ae f
cellularis |  cellularis, e биолог.
cellulosus |  cellulosus, a, um биолог.
celo |  celo, avi, atum, are
Celocainum |  Celocain(um, i n
Celocurinum |  Celocurin(um, i n
celoma |  celoma, atis n
celox |  celox, ocis f
celsus |  celsus, a, um
Celtae |  Celtae, arum m
Celtiberi |  Celtiberi, orum m
Celtiberia |  Celtiberia, ae f
Celtibericus |  Celtibericus, a, um
Celticum |  Celticum, i n
Celticus |  Celticus, a, um
cementum |  cementum, i n
cena |  cena (caena или coena), ae f
Cenabum |  Cenabum, i n
cenaculum |  cenaculum, i n
Cenaeum |  Cenaeum, i n
Cenaeus |  Cenaeus, a, um
cenatus |  cenatus, а, um
Cenchreae |  Cenchreae, arum f
Cenchreus |  Cenchreus, a, um
Cenchrius |  Cenchrius, i m
Cenetonum |  Ceneton(um, i n
ceno |  ceno (caeno или coeno), avi, atum, are
Cenomani |  Cenomani, orum m
censeo |  censeo, censui, censum, ere
censor |  censor, oris m
censorius |  censorius, a, um
censura |  censura, ae f
census |  census, us m
centanculus |  centanculus, i m
centaureum |  centaureum (-ium), i n
Centaureus |  Centaureus, a, um
Centaurium |  Centaurium, i n
Centaurus |  Centaurus, i m
Centedrinum |  Centedrin(um, i n
centeni |  centeni, ae, a gen.
centenus |  centenus, a, um
centesima |  centesima, ae f
centesimus |  centesimus, a, um
centiceps |  centiceps, сipitis
centiens |  centiens (centies) adv.
centies |  centies
centigramma |  centigramma, atis n
centimanus |  centimanus, a, um
cento |  cento, onis m
centractilum |  centractil(um, i n
centralis |  centralis, e
Centraminum |  Centramin(um, i n
Centrazolum |  Centrazol(um, i n
centrifuga |  centrifuga, ae f
centromedianus |  centromedianus, a, um анат.
Centrones |  Centrones, um m
Centrophenoxinum |  Centrophenoxin(um, i n
centrum |  centrum, i n
centum |  centum indecl.
centumgeminus |  centumgeminus, a, um
centumvir |  centumvir, i m
centumviralis |  centumviralis, e
centuria |  centuria, ae f
centuriatim |  centuriatim adv.
centuriatus |  I centuriatus, us m
centurio |  I centurio, avi, atum, are m
Centuripae |  Centuripae, arum f
Centuripini |  Centuripini, orum m
Centuripinus |  Centuripinus, a, um
