renitor |  renitor, nisus (nixus) sum, niti
reno |  I reno (rheno), onis m
renodo |  renodo, --, --, are
Renografinum |  Renografin(um, i n
renographia |  renographia, ae f
Renostypticinum |  Renostypticin(um, i n
renovamen |  renovamen, inis n
renovatio |  renovatio, onis f
renovo |  renovo, avi, atum, are
renuntiatio |  renuntiatio, onis f
renuntio |  renuntio, avi, atum, are
renuo |  renuo, ui, --, ere
Reocorinum |  Reocorin(um, i n
reor |  reor, ratus sum, eri
repagula |  repagula, orum n
repagulum |  repagulum, i n
repandus |  repandus, a, um
reparabilis |  reparabilis, e
reparo |  reparo, avi, atum, are поэт.
repastinatio |  repastinatio, onis f
repastino |  repastino, avi, atum, are
repecto |  repecto, --, pexum, ere
repello |  repello, puli, pulsum, ere
rependo |  rependo, pendi, pensum, ere поэт.
repens |  repens, entis биолог.
repente |  repente adv.
repentino |  repentino adv.
repentinus |  repentinus, a, um
repercutio |  repercutio, cussi, cussum, ere pass.
reperio |  reperio, peri, pertum, ire
repertor |  repertor, oris m
repetitio |  repetitio, onis f
repetitor |  repetitor, oris m
repeto |  repeto, ivi (ii), itum, ere
repleo |  repleo, plevi, pletum, ere
repletus |  repletus, a, um
replicatio |  replicatio, onis f
replico |  replico, avi, atum, are
repo |  repo, repsi, reptum, ere
repono |  repono, posui, positum, ere поэт.
reporto |  reporto, avi, atum, are
reposco |  reposco, --, --, ere
repositus |  repositus (repostus), a, um
repostor |  repostor, oris m
repostus |  repostus, a, um
repotia |  repotia, orum n
repraesentatio |  repraesentatio, onis f
repraesento |  repraesento, avi, atum, are
reprehendo |  reprehendo (reprendo), prehendi (prendi), prehensum (prensum), ere
reprehensio |  reprehensio, onis f
reprehenso |  reprehenso, --, --, are
reprehensor |  reprehensor, oris m
reprendo |  reprendo
repressor |  repressor, oris m
reprimo |  reprimo, pressi, pressum, ere
reproductio |  reproductio, onis f
repromissio |  repromissio, onis f
repromitto |  repromitto, misi, missum, ere
repto |  repto, avi, atum, are
repudiatio |  repudiatio, onis f
repudio |  repudio, avi, atum, are
repudium |  repudium, i n
repuerasco |  repuerasco, --, --, ere
repugnanter |  repugnanter adv.
repugno |  repugno, avi, atum, are
repuguantia |  repuguantia, ae f
repulsa |  repulsa, ae f
repulsus |  repulsus, us m
repungo |  repungo, --, --, ere
repurgo |  repurgo, avi, atum, are поэт.
reputatio |  reputatio, onis f
reputo |  reputo, avi, atum, are
requies |  requies, etis f
requiesco |  requiesco, quievi, quietum, ere поэт.
requietus |  requietus, a, um
requiro |  requiro, quisivi, quisitum, ere
res |  res, rei f
resacro |  resacro, --, --, are
resaevio |  resaevio, --, --, ire
resaluto |  resaluto, avi, atum, are
resanesco |  resanesco, sanui, --, ere
resarcio |  resarcio, sarsi, sartum, ire
rescindo |  rescindo, scidi, scissum, ere
rescisco |  rescisco, scivi (scii), scitum, ere
rescribo |  rescribo, scripsi, scriptum, ere
reseco |  reseco, secui, sectum, are
resectio |  resectio, onis f
resemino |  resemino, --, --, are
resequor |  resequor, secutus (sequutus) sum, sequi
resero |  resero, avi, atum, are
Reserpinum |  Reserpin(um, i n
Reserpoidum |  Reserpoid(um, i n
reservo |  reservo, avi, atum, are
reses |  reses, idis
resideo |  resideo, sedi, sessum, ere
resido |  resido, sedi, sessum, ere
residuum |  residuum, i n
residuus |  residuus, a, um
resigno |  resigno, avi, atum, are поэт.
resilio |  resilio, silui, sultum, ire
resimus |  resimus, a, um
resina |  resina, ae f
resipio |  resipio, --, --, ere
resipisco |  resipisco, sipui (sipii), sipivi, ere
resisto |  resisto, stiti, stitum, ere
Resistomycinum |  Resistomycin(um, i n
Resistopenum |  Resistopen(um, i n
Resochenum |  Resochen(um, i n
Resochinum |  Resochin(um, i n
resolvo |  resolvo, solvi, solutum, ere поэт.
resonabilis |  resonabilis, e
resono |  resono, avi, --, are
resonus |  resonus, a, um
resorbeo |  resorbeo, --, --, ere
Resorcinolum |  Resorcinol(um, i n
Resorcinum |  Resorcin(um, i n
respecto |  respecto, avi, atum, are
respectus |  respectus, us m
respergo |  respergo, spersi, spersum, ere
respersio |  respersio, onis f
respicio |  respicio, spexi, spectum, ere
respiramen |  respiramen, inis n
respiratio |  respiratio, onis f
respiratorius |  respiratorius, a, um анат.
respiratus |  respiratus, us m
respiro |  respiro, avi, atum, are
resplendeo |  resplendeo, --, --, ere
respondeo |  respondeo, spondi, sponsum, ere
responsio |  responsio, onis f
responsito |  responsito, avi, --, are
responso |  responso, --, --, are поэт.
responsum |  responsum, i n
respublica |  respublica см.
respuo |  respuo, spui, --, ere
restagno |  restagno, --, --, are
Restaminum |  Restamin(um, i n
restauro |  restauro, avi, atum, are
Restenilum |  Restenil(um, i n
resticula |  resticula, ae f
restinctio |  restinctio, onis f
restinguo |  restinguo, stinxi, stinctum, ere
restipulatio |  restipulatio, onis f
restipulor |  restipulor, --, ari
restis |  restis, is f
restito |  restito, --, --, are
restituo |  restituo, ui, utum, ere
restitutio |  restitutio, onis f
restitutor |  restitutor, oris m
resto |  resto, stiti, --, are
restricte |  restricte adv.
restrictus |  restrictus, a, um
restringo |  restringo, strinxi, strictum, ere
Resulfonum |  Resulfon(um, i n
resulto |  resulto, --, --, are
resumo |  resumo, sumpsi, sumptum, ere
resupino |  resupino, avi, atum, are
resupinus |  resupinus, a, um
resurgo |  resurgo, surrexi, sarrectum, ere поэт.
resuscito |  resuscito, --, atum, are
Retabolilum |  Retabolil(um, i n
Retandrolum |  Retandrol(um, i n
retardatio |  retardatio, onis f
retardo |  retardo, avi, atum, are
Retasulfinum |  Retasulfin(um, i n
rete |  rete, is n
retego |  retego, texi, tectum, ere поэт.
retempto |  retempto, --, --, are
retendo |  retendo, tendi, tensum (tentum), ere
retentio |  retentio, onis f
retento |  I retento, avi, atum, are поэт.
retexo |  retexo, texui, textum, ere поэт.
retiarius |  retiarius, i m
reticentia |  reticentia, ae f
reticeo |  reticeo, cui, --, ere
reticularis |  reticularis, e анат.
reticulospinalis |  reticulospinalis, e анат.
reticulum |  reticulum, i n
reticulus |  reticulus, i m
retina |  retina, ae f
retinaculum |  I retinaculum, i n
retinens |  retinens, entis
retineo |  retineo, tinui, tentum, ere
Retinolum |  Retinol(um, i n
retorqueo |  retorqueo, torsi, tortum, ere
retorridus |  retorridus, a, um
retractatio |  retractatio, onis f
retractatus |  retractatus, a, um
retracto |  retracto, avi, atum, are
retractus |  retractus, a, um
retraho |  retraho, traxi, tractum, ere
retrecto |  retrecto
retribuo |  retribuo, tribui, tributum, ere
retro |  retro adv.
retroauricularis |  retroauricularis, e анат.
retrobuccalis |  retrobuccalis, e анат.
retrocecalis |  retrocecalis, e анат.
retrocervicalis |  retrocervicalis, e анат.
retroduodenalis |  retroduodenalis, e анат.
retroesophagealis |  retroesophagealis, e анат.
retroflexio |  retroflexio, onis f
retroflexus |  retroflexus, a, um анат.
retrogradus |  retrogradus, a, um мед.
retrogressus |  retrogressus, a, um анат.
retrohyoideus |  retrohyoideus, a, um анат.
retrolentiformis |  retrolentiformis, e анат.
retrolingualis |  retrolingualis, e анат.
retromammalis |  retromammalis, e анат.
retromandibularis |  retromandibularis, e анат.
retromastoidalis |  retromastoidalis, e анат.
retronasalis |  retronasalis, e анат.
retroperitonealis |  retroperitonealis, e анат.
retropharyngeus |  retropharyngeus, a, um анат.
retropubicus |  retropubicus, a, um анат.
retrorsum |  retrorsum adv.
retrosternalis |  retrosternalis, e анат.
retroversio |  retroversio, onis f
retroversus |  retroversus, a, um
retrusus |  retrusus, a, um
retundo |  retundo, tudi, tusum (tunsum), ere
Reumoidum |  Reumoid(um, i n
reuniens |  reuniens, entis
reus |  reus, i m
revalesco |  revalesco, valui, --, ere
revehens |  revehens, entis
reveho |  reveho, vexi, vectum, ere pass.
revello |  revello, velli, vulsum, ere
revelo |  revelo, avi, atum, are
revenio |  revenio, veni, ventum, ire
reverbero |  reverbero, --, --, are pass.
reverendus |  reverendus, a, um
reverens |  reverens, entis
reverentia |  reverentia, ae f
revereor |  revereor, veritus sum, eri
Reverinum |  Reverin(um, i n
reversio |  reversio (revorsio), onis f
reverto |  reverto (revorto), verti (vorti), versum (vorsum), ere
revertor |  revertor (revortor), versus (vorsus) sum, verti (vorti)
Revibolum |  Revibol(um, i n
revincio |  revincio, vinxi, vinctum, ire
revinco |  revinco, vici, victum, ere
reviresco |  reviresco, virui, --, ere
reviso |  reviso, visi, visum, ere
revivisco |  revivisco, vixi, --, ere
revocabilis |  revocabilis, e
revocamen |  revocamen, inis n
revocatio |  revocatio, onis f
revoco |  revoco, avi, atum, are юр.
revolo |  revolo, avi, atum, are
revolubilis |  revolubilis, e
revolvo |  revolvo, volvi, volutum, ere поэт.
revomo |  revomo, vomui, --, ere
Revonalum |  Revonal(um, i n
revort |  revort...
rex |  rex, regis m
Rexiodum |  Rexiod(um, i n
Rexocainum |  Rexocain(um, i n
Rhadamanthus |  Rhadamanthus, i m
Rhaeti |  Rhaeti, orum m
Rhaetia |  Rhaetia, ae f
Rhaetocainum |  Rhaetocain(um, i n
Rhamnilum |  Rhamnil(um, i n
Rhamnus |  Rhamnus, i f
rhapsodia |  rhapsodia, ae f
Rhea |  Rhea, ae f
rhed |  rhed...
rheno |  rheno, onis m
Rhenus |  Rhenus, i m
Rheopakum |  Rheopak(um, i n
Rheopolyglucinum |  Rheopolyglucin(um, i n
Rheopyrinum |  Rheopyrin(um, i n
Rheosolonum |  Rheosolon(um, i n
rhetor |  rhetor, oris m
rhetorice |  rhetorice adv.
rhetoricoteros |  rhetoricoteros  adj.
rhetoricus |  rhetoricus, a, um
Rheum |  Rheum, i n
rhinalis |  rhinalis, e анат.
rhinanthus |  I rhinanthus, a, um биолог.
Rhinazinum |  Rhinazin(um, i n
Rhinchophorus |  Rhinchophorus, i m
rhinencephalon |  rhinencephalon, i n
rhinitis |  rhinitis, idis f
Rhinoceros |  Rhinoceros, otis m
rhinocerus |  rhinocerus, a, um биолог.
rhinolithus |  rhinolithus, i m
rhinopathia |  rhinopathia, ae f
rhinoplastica |  rhinoplastica, ae f
rhinorrhagia |  rhinorrhagia, ae f
rhinorrhoea |  rhinorrhoea, ae f
rhinoscopia |  rhinoscopia, ae f
Rhipaeus |  Rhipaeus (Rhiphaeus, Ripaeus), a, um
rhis |  rhis, rhinos f
rhizocarpus |  rhizocarpus, a, um биолог.
Rhizocephala |  Rhizocephala, orum n
rhizoma |  rhizoma, atis n
rhizomorphus |  rhizomorphus, a, um биолог.
Rhizopoda |  Rhizopoda, orum n
rho |  rho n
Rhodanus |  Rhodanus, i m
Rhodos |  Rhodos (-us), i f
rhombencephalon |  rhombencephalon, i n
rhomboides |  rhomboides, is
rhomboideus |  rhomboideus, a, um анат.
rhombus |  rhombus, i m
Rhynchophorus |  Rhynchophorus, i m
rhythmici |  rhythmici, orum m
Riboflavinum |  Riboflavin(um, i n
Ribonucleasum |  Ribonucleas(um, i n
Ribovinum |  Ribovin(um, i n
ricinium |  ricinium (recinium), i n
Ricinus |  Ricinus, i m
rictum |  rictum, i n
rictus |  rictus, us m
rideo |  rideo, risi, risum, ere поэт.
ridicule |  ridicule adv.
ridiculus |  ridiculus, a, um
Ridinolum |  Ridinol(um, i n
Ridolum |  Ridol(um, i n
Rifadinum |  Rifadin(um, i n
Rifampicinum |  Rifampicin(um, i n
Rifamycinum |  Rifamycin(um, i n
Rifocinum |  Rifocin(um, i n
Rifodinum |  Rifodin(um, i n
Rigedalum |  Rigedal(um, i n
Rigenicidum |  Rigenicid(um, i n
rigeo |  rigeo, --, --, ere поэт.
rigesco |  rigesco, rigui, --, ere
Rigetaminum |  Rigetamin(um, i n
rigide |  rigide adv.
rigidus |  rigidus, a, um поэт.
rigo |  rigo, avi, atum, are
rigor |  rigor, oris m
riguus |  riguus, a, um pass.
Rilatinum |  Rilatin(um, i n
rima |  rima, ae f
Rimactanum |  Rimactan(um, i n
Rimicidum |  Rimicid(um, i n
Rimifonum |  Rimifon(um, i n
rimor |  rimor, atus sum, ari
rimosus |  rimosus, a, um
Rincortenum |  Rincorten(um, i n
ringor |  ringor, --, ringi
ripa |  ripa, ae f
ripula |  ripula, ae f
risor |  risor, oris m
Risordanum |  Risordan(um, i n
risorius |  risorius, a, um анат.
