Thrombolytinum |  Thrombolytin(um, i n
Thrombophenum |  Thrombophen(um, i n
thrombophilia |  thrombophilia, ae f
thrombophlebitis |  thrombophlebitis, idis f
Thrombosolum |  Thrombosol(um, i n
Thrombotylum |  Thrombotyl(um, i n
thrombus |  thrombus, i m
Thucydides |  Thucydides, is (i) m
thunnus |  thunnus, i m
thur |  thur...
thus |  thus
thyasus |  thyasus
Thycapzolum |  Thycapzol(um, i n
thymbra |  thymbra, ae f
thymicus |  thymicus, a, um анат.
Thymidazolum |  Thymidazol(um, i n
Thymolum |  Thymol(um, i n
thymum |  thymum, i n
thymus |  I thymus, i m
thynnus |  thynnus (thunnus), i m
Thyranonum |  Thyranon(um, i n
Thyreoidinum |  Thyreoidin(um, i n
thyroarytenoideus |  thyroarytenoideus, a, um анат.
thyrocervicalis |  thyrocervicalis, e анат.
thyroepiglotticus |  thyroepiglotticus, a, um анат.
thyrohyoideus |  thyrohyoideus, a, um анат.
thyroideus |  thyroideus, a, um
Thyroidum |  Thyroid(um, i n
thyropharyngeus |  thyropharyngeus, a, um анат.
Thyrosinum |  Thyrosin(um, i n
Thyrotanum |  Thyrotan(um, i n
Thyrotropinum |  Thyrotropin(um, i n
thyrsus |  thyrsus, i m
Ti. |  Ti. сокр. от
tiara |  tiara, ae f
Tiberis |  Tiberis, is ( acc.
Tiberius |  Tiberius, i m
tibia |  tibia, ae f
tibiale |  tibiale, is n
tibialis |  tibialis, e анат.
tibicen |  tibicen, inis m
tibicina |  tibicina, ae f
tibicinium |  tibicinium, i n
tibiocalcaneus |  tibiocalcaneus, a, um анат.
tibiofibularis |  tibiofibularis, e анат.
tibionavicularis |  tibionavicularis, e анат.
Tibionum |  Tibion(um, i n
tibiotalaris |  tibiotalaris, e анат.
Tibisanum |  Tibisan(um, i n
Tibizidum |  Tibizid(um, i n
Tibonum |  Tibon(um, i n
Tibullus |  Tibullus, i m
Tibur |  Tibur, uris n
Tibutolum |  Tibutol(um, i n
Ticinus |  Ticinus, i m
Tigellinus |  Tigellinus, i m
Tigellius |  Tigellius, i m
tigillum |  tigillum, i n
tignarius |  tignarius, a, um
tignum |  tignum, i n
tigrinus |  tigrinus, a, um биолог.
Tigris |  Tigris, is (idis) m
tigris |  tigris, idis (is) m
Tilcyprinum |  Tilcyprin(um, i n
tilia |  tilia, ae f
Timaeus |  Timaeus, i m
timefactus |  timefactus, a, um
timeo |  timeo, ui, --, ere
timide |  timide adv.
timiditas |  timiditas, atis f
timidus |  timidus, a, um
timor |  timor, oris m
Timosinum |  Timosin(um, i n
tinctilis |  tinctilis, e
tinctura |  tinctura, ae f
tinea |  tinea (tinia), ae f
tingo |  tingo (tinguo), tinxi, tinctum, ere
tinia |  tinia, ae f
tinnio |  tinnio (tinio), ivi (ii), itum, ire
tinnitus |  tinnitus, us m
tinnulus |  tinnulus, a, um
tintinnabulum |  tintinnabulum, i n
tinus |  tinus, i f
Tioctacidum |  Tioctacid(um, i n
Tioctanum |  Tioctan(um, i n
Tiofosylum |  Tiofosyl(um, i n
Tiopanum |  Tiopan(um, i n
Tiotioronum |  Tiotioron(um, i n
Tiphenum |  Tiphen(um, i n
Tiresias |  Tiresias, ae m
Tirianum |  Tirian(um, i n
tiro |  tiro, onis m
