ea |  ea adv.
endothoracicus |  endothoracicus, a, um анат.
Endoxanum |  Endoxan(um, i n
Endoxycrinum |  Endoxycrin(um, i n
Enduxanum |  Enduxan(um, i n
eneco |  eneco (enico), necui, nectum, are
energeticus |  energeticus, a, um
enervatus |  enervatus, a, um
enervo |  enervo, avi, atum, are
Enhexymalum |  Enhexymal(um, i n
enico |  enico, avi, --, are
Enidranum |  Enidran(um, i n
enim |  enim conj.
Enimalum |  Enimal(um, i n
enimvero |  enimvero
enise |  enise adv.
enisus |  enisus, a, um см.
eniteo |  eniteo, tui, --, ere
enitesco |  enitesco, --, --, ere
enitor |  enitor, nisus (nixus) sum, niti
enixe |  enixe (enise) adv.
enixus |  enixus (enisus), a, um
enneapetalus |  enneapetalus, a, um бот.
Ennius |  Ennius, i m
ennuntiatum |  ennuntiatum, i n
eno |  eno, avi, atum, are поэт.
enodatio |  enodatio, onis f
enodis |  enodis, e
enophthalmus |  enophthalmus, i m
Enovidum |  Enovid(um, i n
ensiformis |  ensiformis, e анат.
ensiger |  ensiger, era, erum
ensis |  ensis, is m
Entacylum |  Entacyl(um, i n
Entamoeba |  Entamoeba, ae f
Entazinum |  Entazin(um, i n
entericus |  entericus, a, um анат.
Enteritanum |  Enteritan(um, i n
enterocolitis |  enterocolitis, idis f
Enterokinolum |  Enterokinol(um, i n
enterolithus |  enterolithus, i m
Enteromonum |  Enteromon(um, i n
enteron |  enteron, i n
enteropathia |  enteropathia, ae f
enteropexia |  enteropexia, ae f
enteroplastica |  enteroplastica, ae f
Enteroquinolum |  Enteroquinol(um, i n
enterorrhagia |  enterorrhagia, ae f
enterorrhaphia |  enterorrhaphia, ae f
Enterosalum |  Enterosal(um, i n
Enterosalylum |  Enterosalyl(um, i n
Enterosanum |  Enterosan(um, i n
Enteroseptolum |  Enteroseptol(um, i n
enterostomia |  enterostomia, ae f
Enterotoninum |  Enterotonin(um, i n
Entizolum |  Entizol(um, i n
entoderma |  entoderma, atis n
Entromonum |  Entromon(um, i n
Entrononum |  Entronon(um, i n
Enturenum |  Enturen(um, i n
enubo |  enubo, nupsi, nuptum, ere
enucleatus |  enucleatus, a, um
enucleo |  enucleo, avi, atum, are
enudo |  enudo, avi, atum, are
enumeratio |  enumeratio, onis f
enumero |  enumero, avi, atum, are
enuntio |  enuntio, avi, atum, are
enuptio |  enuptio, onis f
enutrio |  enutrio, ivi, --, ire
eo |  I eo adv.
eodem |  eodem adv.
Eos |  Eos f
Epaminondas |  Epaminondas, ае m
Epanutinum |  Epanutin(um, i n
epastus |  epastus, a, um
ependyma |  ependyma, atis n
epenthesis |  epenthesis, is f
Ephalonum |  Ephalon(um, i n
ephebus |  ephebus, i m
Ephedrinum |  Ephedrin(um, i n
Ephedrolum |  Ephedrol(um, i n
Ephedrosanum |  Ephedrosan(um, i n
ephemeris |  ephemeris, idis f
Ephesus |  Ephesus, i f
Ephetoninum |  Ephetonin(um, i n
ephippiatus |  ephippiatus, a, um
ephippium |  ephippium, i n
ephorus |  ephorus, i m
epibranchialis |  epibranchialis, e зоолог.
epicardium |  epicardium, i n
epicerebralis |  epicerebralis, e анат.
Epicharmus |  Epicharmus, i m
epicondylus |  epicondylus, i m
epicranialis |  epicranialis, e анат.
epicranius |  epicranius, a, um анат.
epicrisis |  epicrisis, is f
Epicurus |  Epicurus, i m
epicus |  epicus, a, um
Epidauros |  Epidauros, i f
epidemicus |  epidemicus, a, um мед.
epidemiologia |  epidemiologia, ae f
epidermis |  epidermis, idis f
epididymis |  epididymis, idis f
