Gomphotinum |  Gomphotin(um, i n
Gonabionum |  Gonabion(um, i n
Gonavitum |  Gonavit(um, i n
Gonocrinum |  Gonocrin(um, i n
gonocytus |  gonocytus, i m
Gontochinum |  Gontochin(um, i n
Gordium |  Gordium, i n
Gorgias |  Gorgias, ае m
Gorgones |  Gorgones, um f
gossypium |  gossypium, i n
Gothi |  Gothi, orum m
grabatus |  grabatus, i m
Gracchus |  Gracchus, i m
Gracidinum |  Gracidin(um, i n
gracilis |  gracilis, e
gradatim |  gradatim adv.
gradior |  gradior, gressus sum, gradi
gradus |  gradus, us m
Graecia |  Graecia, ae f
graecor |  graecor, atus sum, ari
Graecus |  I Graecus, a, um m
Grajus |  Grajus, i m
gramen |  gramen, inis n
Gramicidinum |  Gramicidin(um, i n
gramineus |  gramineus, a, um
gramma |  gramma, atis n
grammatica |  I grammatica, ae f
grammaticus |  I grammaticus, a, um m
granarium |  granarium, i n
Granatus |  Granatus, i f
grandaevus |  grandaevus, a, um
grandifer |  grandifer, era, erum
grandiflorus |  grandiflorus, a, um бот.
grandino |  grandino, --, --, are impers.
grandis |  grandis, e
granditer |  granditer adv.
grando |  grando, inis f
Granicus |  Granicus, i m
granifer |  granifer, era, erum
granulans |  granulans, antis мед.
granularis |  granularis, e
granulatio |  granulatio, onis f
granulosus |  granulosus, a, um анат.
granum |  granum, i n
graphium |  graphium, i n
graphomachina |  graphomachina, ae f
grassator |  grassator, oris m
grassor |  grassor, atus sum, ari
grate |  grate adv.
grates |  grates ( acc.
gratia |  I gratia, ae f
Gratiae |  Gratiae, arum f
gratificatio |  gratificatio, onis f
gratificor |  gratificor, atus sum, ari
gratiis |  gratiis арх.
gratiosus |  gratiosus, a, um
gratis |  gratis adv.
grator |  grator, atus sum, ari
gratuito |  gratuito adv.
gratuitus |  gratuitus, a, um
gratulabundus |  gratulabundus, a, um
gratulatio |  gratulatio, onis f
gratulor |  gratulor, atus sum, ari
gratus |  gratus, a, um
graudesco |  graudesco, --, --, ere
gravanter |  gravanter adv.
gravatim |  gravatim adv.
graveolens |  graveolens, entis
gravesco |  gravesco, --, --, ere поэт.
gravidus |  gravidus, a, um
gravis |  gravis, e
gravitas |  gravitas, atis f
graviter |  graviter adv.
Gravitolum |  Gravitol(um, i n
gravo |  gravo, avi, atum, are pass.
gregales |  gregales, ium m
gregalis |  gregalis, e
gregarius |  gregarius, a, um
gregatim |  gregatim adv.
gremium |  gremium, i n
Greosinum |  Greosin(um, i n
gressus |  gressus, us m
grex |  grex, gregis m
Gricinum |  Gricin(um, i n
Grifulinum |  Grifulin(um, i n
Grifulvinum |  Grifulvin(um, i n
grippa |  grippa, ae f
Griroxilum |  Griroxil(um, i n
Grisactinum |  Grisactin(um, i n
Grisefulinum |  Grisefulin(um, i n
Griseofulvinum |  Griseofulvin(um, i n
griseus |  griseus, a, um анат.
Grisovinum |  Grisovin(um, i n
gruis |  gruis
grus |  grus (поэт. gruis), gruis m
gryps |  gryps, grypis m
Guamidum |  Guamid(um, i n
Guanatolum |  Guanatol(um, i n
Guanethidinum |  Guanethidin(um, i n
Guanisolum |  Guanisol(um, i n
