ob |  ob praep cum acc.
octoplicatus |  octoplicatus, a, um
octuplum |  octuplum, i n
octuplus |  octuplus, a, um
octussis |  octussis, is m
ocularis |  ocularis, e анат.
oculista |  oculista, ae m
oculomotorius |  oculomotorius, a, um анат.
oculus |  oculus, i m
odi |  odi, --, odisse part.
odiose |  odiose adv.
odiosus |  odiosus, a, um
odium |  odium, i n
odontalgia |  odontalgia, ae f
odontoblastus |  I odontoblastus, i m
odontogenus |  odontogenus, a, um мед.
odontoideus |  odontoideus, a, um анат.
odontonia |  odontonia, atis n
odontophyllus |  odontophyllus, a, um биолог.
odontorrhagia |  odontorrhagia, ae f
odor |  odor, oris m
odorans |  odorans, antis биолог.
odoratus |  I odoratus, a, um part.
odorifer |  odorifer, era, erum
odoro |  odoro, avi, atum, are
odoror |  odoror, atus sum, ari
odorus |  odorus, a, um
odos |  odos, oris m
Odyssea |  Odyssea, ae f
oedema |  oedema, atis n
Oedipus |  Oedipus, odis m
oenophorum |  oenophorum, i n
oesophagus |  oesophagus, i m
Oestradiolum |  Oestradiol(um, i n
Oestralynum |  Oestralyn(um, i n
Oestramenolum |  Oestramenol(um, i n
Oestramonum |  Oestramon(um, i n
Oestrinum |  Oestrin(um, i n
Oestrobinum |  Oestrobin(um, i n
Oestrogeninum |  Oestrogenin(um, i n
Oestroglandolum |  Oestroglandol(um, i n
Oestrogynonum |  Oestrogynon(um, i n
Oestrolum |  Oestrol(um, i n
Oestromeninum |  Oestromenin(um, i n
Oestronum |  Oestron(um, i n
Oestroperosum |  Oestroperos(um, i n
Oestrostilbenum |  Oestrostilben(um, i n
Oestrosyntalum |  Oestrosyntal(um, i n
oestrus |  oestrus, i m
oesypum |  oesypum, i n
offa |  offa, ae f
offendo |  offendo, tendi, fensum, ere pass.
offensa |  offensa, ae f
offensio |  offensio, onis f
offensiuncula |  offensiuncula, ae f
offenso |  offenso, --, --, are
offensus |  offensus, a, um
offero |  offero, obtuli, oblatum, offerre pass.
officina |  officina, ae f
officinalis |  officinalis, e мед.
officio |  officio, feci, fectum, ere
officiosus |  officiosus, a, um
officium |  officium, i n
offigo |  offigo, --, --, ere
offirmo |  offirmo, avi, atum, are
offulgeo |  offulgeo, fulsi, --, ere
offundo |  offundo, fudi, fusum, ere pass.
ohe |  ohe! interj.
Oileus |  Oileus (=Oile^us), ei (eos) m
Olbia |  Olbia, ae f
olea |  olea, ae f
oleaginus |  oleaginus, a, um
Oleandocetinum |  Oleandocetin(um, i n
Oleandocynum |  Oleandocyn(um, i n
Oleandomycinum |  Oleandomycin(um, i n
Oleandrinum |  Oleandrin(um, i n
olearius |  olearius, a, um
oleaster |  oleaster, tri m
olecranon |  olecranon, i n
Olemorphocyclinum |  Olemorphocyclin(um, i n
olens |  olens, entis
oleo |  oleo, ui, --, ere
Oletetrinum |  Oletetrin(um, i n
oleum |  oleum, i n
olfacio |  olfacio, feci, factum, ere
olfactorius |  olfactorius, a, um анат.
olfactus |  olfactus, us m
olidus |  olidus, a, um
oligocytaemia |  oligocytaemia, ae f
oligodactylia |  oligodactylia, ae f
oligodentia |  oligodentia, ae f
oligokinesia |  oligokinesia, ae f
oligomenorrhoea |  oligomenorrhoea, ae f
Oligonervidae |  Oligonervidae, arum f
oligophrenia |  oligophrenia, ae f
oligotrichus |  oligotrichus, a, um биолог.
oliguria |  oliguria, ae f
olim |  olim adv.
olitor |  olitor, oris m
Olitorisidum |  Olitorisid(um, i n
olitorius |  olitorius, a, um
oliva |  oliva, ae f
olivaris |  olivaris, e
olivetum |  olivetum, i n
olivifer |  olivifer, era, erum
